model,fold_kind,fold,target,n_train,n_test,r2,predictors
morphology predicts climate,random,3,mean_minimum_temperature_c,189489,47746,0.0008686102506054727,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,random,3,mean_vpd_kpa,189489,47746,0.005035605438670321,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,random,3,max_vpd_kpa,189489,47746,0.07160980214893031,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,random,3,mean_wind_speed_m_s,189489,47746,0.0009082516643816874,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,random,3,wind_present_fraction,189489,47746,,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,random,4,mean_maximum_temperature_c,189882,47353,0.0019891577355595214,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,random,4,mean_minimum_temperature_c,189882,47353,0.0008183065037311588,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,random,4,mean_vpd_kpa,189882,47353,0.004654080650792092,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,random,4,max_vpd_kpa,189882,47353,0.07465052233993763,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,random,4,mean_wind_speed_m_s,189882,47353,0.0005599680442851529,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,random,4,wind_present_fraction,189882,47353,,"morph_pc1,morph_pc2,morph_pc3"
climate predicts morphology,region,0,morph_pc1,193263,43972,0.43414570239304573,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,region,0,morph_pc2,193263,43972,0.03535234257105335,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,region,0,morph_pc3,193263,43972,0.0009467220705828838,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,region,1,morph_pc1,147651,89584,0.5347427634538748,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
