matching_basis,n_pairs,morphology_distance,climate_distance,random_other_distance_median,standardized_effect
similar morphology,35000,0.0,1.849846455915397,1.9403178966636776,-0.07710411156316191
similar climate,35000,1.9564996895739786,0.044605168646711615,2.0818153400049173,-0.08140884166013641
