feature_set,n_features,cumvar_pc1_5,pc1
all geometry features,36,0.9627472084578238,0.8098926007015654
scalar summaries only,14,0.9454536267408056,0.613138139811827
profile features only,22,0.9959549943999205,0.9245845388417446
no final area,35,0.9654871884245361,0.8149626428880838
no duration,35,0.9623507937626506,0.8059951971173199
no observation count,35,0.9650381992206255,0.8147181347814726
no scale variables,32,0.9728186879837901,0.8349750546543871
one per conceptual group,9,0.9712853093820293,0.7375427691274656
