subset,duration_threshold_days,n,pc1,pc2,pc3,pc4,pc5,cumvar_pc1_5
all fires,0,278569,0.8098926007015654,0.06640399828946669,0.035444656829815124,0.03304360360067242,0.017962349036304275,0.9627472084578238
>=2 days,2,117496,0.42068557005994667,0.26231586981043836,0.09125159330629642,0.06332160142452843,0.041456522906560295,0.8790311575077702
>=4 days,4,81730,0.3827034916224541,0.2606286308893118,0.10679409828899654,0.0619864310868472,0.05273288791104005,0.8648455397986496
>=8 days,8,31330,0.27939914173058095,0.25609645253525254,0.13309367039260261,0.08941656538151611,0.055407924986900836,0.8134137550268531
>=10 days,10,19528,0.2777239268934047,0.2553485579138579,0.1339614350817102,0.06666951646655246,0.05092937804466494,0.7846328144001902
