n_medoids,median_nearest_distance,p90_nearest_distance,density_mass_within_1sd
4,10.203305722910764,10.365427830536872,0.015213465963549427
8,4.086870654635083,4.7195688386120285,0.021800702877922525
12,0.6326981840629303,2.857804258666749,0.5633110647631288
16,0.6326981840629303,2.739336519092908,0.5728024295596423
24,0.6326981840629303,2.575828449736638,0.5895953964726872
30,0.38694329969856717,1.8536279461983751,0.653960060164627
36,0.38694329969856717,1.783388922949966,0.6570149585919467
