fire_id_a,fire_id_b,climate_distance,morphology_distance
388151,327821,3.7874341623465804,0.0
324458,397412,4.560259903286483,0.0
56916,397412,3.6756306088720163,0.0
245058,279169,3.349147963146234,0.0
328989,205574,3.4636536461274394,0.08910298144573366
287516,98275,6.116995845953783,0.0
418001,182856,2.9432803920278414,0.2496786092864485
132094,211138,4.665299024726491,0.0
216979,397412,5.580424228716115,0.0
149367,397412,3.7094650645917815,0.0
302625,41071,2.9868506468617984,0.0
78901,397412,5.159817631252261,0.0
258641,136198,4.554043359890563,0.0
370963,211138,4.836455496257863,0.0
199801,273507,4.315708461398153,0.0
31571,360188,3.700152160997779,0.0
380151,92612,3.9346013213901014,0.0
419908,298864,4.760368610995994,0.20114001795316971
365491,385277,4.053907916375383,0.0
18007,410616,6.342699593120611,0.0
46864,180319,3.4801803878946775,0.0
27285,360188,4.470433005645351,0.0
161044,211138,4.891738953162501,0.0
438295,397412,3.648317593459478,0.0
264591,167829,4.8467752308799215,0.0
25337,437135,4.18702304814248,0.0
263368,211138,5.141178464214096,0.0
290570,179980,4.091936138392862,0.17043623949648815
430934,327821,4.3018513461852965,0.0
118138,126095,5.130739121041088,0.12898260153484684
150461,382680,3.4860761331840773,0.29302656847917047
261386,211138,3.837041270635351,0.0
215924,228926,4.875229119037765,0.0
101548,397412,5.646424602042618,0.0
327234,167829,4.601677014367477,0.0
201373,360188,4.446708773253274,0.0
421546,360188,4.553328899819955,0.0
217973,236046,4.6966287639384126,0.0
344211,191960,4.215187413334175,0.0
118884,89037,3.0303658092157457,0.2957148559154866
285587,167829,5.623776076176904,0.0
321,211138,5.927017275918764,0.0
157476,167829,4.466802557682854,0.0
19320,419887,5.1788563039070326,0.33088667978916636
114658,211138,4.278146725572932,0.0
338628,54872,2.6584122428025423,0.2862496809160048
194328,130901,4.802462210678364,0.19448944039858035
379585,171219,5.581244696266965,0.18451764419096597
187111,167829,3.8982704455114106,0.0
308226,441233,3.6912898075744356,0.0
295134,134067,3.5055560044346157,0.050855642263105925
88088,410896,2.7913516998957086,0.3231617675491959
149974,327821,4.452674200052138,0.0
289623,312198,6.93972112482688,0.20041135979065697
200768,211138,5.897315905927877,0.0
131746,167829,4.875080539277002,0.0
438500,167829,4.718869909848645,0.0
125901,161168,4.612090761525988,0.0
339437,167829,4.16916103669933,0.0
