metric,n,min,median,mean,max
final_area_km2,25,1.2879520397811823,7.083736218796503,31.90686519884582,261.23960540228313
duration_days,25,14.0,14.0,14.0,14.0
observation_count,25,5.0,9.0,9.16,14.0
peak_newly_added_area_km2,25,0.4293173465937274,2.7905627528592283,10.295029971317582,65.47089535554343
terminal_tmmx_c,25,11.350000000000023,24.150000000000034,23.634000000000025,35.950000000000045
terminal_growth_km2,25,0.2146586732968637,0.2146586732968637,0.4121446527299783,2.5759040795623647
fires_total,25,,,,
fires_primary_quality_pass,1,,,,
fire_time_rows,229,,,,
