fire_id,event_type,observation_index,calendar_date,relative_position_observed_sequence,activity_metric,activity_magnitude,activity_relative_to_peak,confidence_or_robustness,methods_supporting_event,threshold_fixed_abs_km2,threshold_within_fire_percentile_km2,threshold_fraction_peak_km2,terminal_observed_record_is_physical_extinction
7115,transition into geometric quiescence,9,2001-08-29,0.9230769230769231,newly_added_area_km2,0.4293173465937274,0.07692307692307691,rule-based sustained low activity,,0.1,1.0732933664843185,1.3952813764296141,False
7115,terminal observed record,10,2001-08-30,1.0,newly_added_area_km2,0.2146586732968637,0.03846153846153846,dataset-observed ending; not physical extinction,,0.1,1.0732933664843185,1.3952813764296141,False
7149,first observed perimeter,0,2001-08-18,0.0,newly_added_area_km2,0.2146586732968637,0.034482758620689655,observed,,0.1,1.502610713078046,1.5562753814022618,False
7149,expansion pulse,3,2001-08-23,0.38461538461538464,newly_added_area_km2,6.225101525609047,1.0,4/4 threshold methods,"fixed_absolute,within_fire_percentile,fraction_of_peak,prominence",0.1,1.502610713078046,1.5562753814022618,False
7149,peak expansion,3,2001-08-23,0.38461538461538464,newly_added_area_km2,6.225101525609047,1.0,observed maximum geometric activity,"fixed_absolute,within_fire_percentile,fraction_of_peak,prominence",0.1,1.502610713078046,1.5562753814022618,False
7149,expansion pulse,8,2001-08-31,1.0,newly_added_area_km2,2.5759040795623647,0.4137931034482759,3/4 threshold methods,"fixed_absolute,within_fire_percentile,fraction_of_peak",0.1,1.502610713078046,1.5562753814022618,False
7149,final meaningful expansion,8,2001-08-31,1.0,newly_added_area_km2,2.5759040795623647,0.4137931034482759,threshold-defined final active observation,"fixed_absolute,within_fire_percentile,fraction_of_peak",0.1,1.502610713078046,1.5562753814022618,False
7149,terminal observed record,8,2001-08-31,1.0,newly_added_area_km2,2.5759040795623647,0.4137931034482759,dataset-observed ending; not physical extinction,,0.1,1.502610713078046,1.5562753814022618,False
7421,first observed perimeter,0,2001-08-26,0.0,newly_added_area_km2,0.4293173465937274,0.3999999999999999,observed,,0.1,0.9122993615116708,0.2683233416210797,False
7421,expansion pulse,1,2001-08-28,0.15384615384615385,newly_added_area_km2,1.0732933664843187,1.0,4/4 threshold methods,"fixed_absolute,within_fire_percentile,fraction_of_peak,prominence",0.1,0.9122993615116708,0.2683233416210797,False
7421,peak expansion,1,2001-08-28,0.15384615384615385,newly_added_area_km2,1.0732933664843187,1.0,observed maximum geometric activity,"fixed_absolute,within_fire_percentile,fraction_of_peak,prominence",0.1,0.9122993615116708,0.2683233416210797,False
7421,expansion pulse,2,2001-08-30,0.3076923076923077,newly_added_area_km2,1.0732933664843187,1.0,3/4 threshold methods,"fixed_absolute,within_fire_percentile,fraction_of_peak",0.1,0.9122993615116708,0.2683233416210797,False
7421,expansion pulse,5,2001-09-04,0.6923076923076923,newly_added_area_km2,0.8586346931874548,0.7999999999999998,3/4 threshold methods,"fixed_absolute,fraction_of_peak,prominence",0.1,0.9122993615116708,0.2683233416210797,False
7421,expansion pulse,6,2001-09-06,0.8461538461538461,newly_added_area_km2,0.8586346931874548,0.7999999999999998,2/4 threshold methods,"fixed_absolute,fraction_of_peak",0.1,0.9122993615116708,0.2683233416210797,False
7421,final meaningful expansion,7,2001-09-08,1.0,newly_added_area_km2,0.4293173465937274,0.3999999999999999,threshold-defined final active observation,,0.1,0.9122993615116708,0.2683233416210797,False
7421,terminal observed record,7,2001-09-08,1.0,newly_added_area_km2,0.4293173465937274,0.3999999999999999,dataset-observed ending; not physical extinction,,0.1,0.9122993615116708,0.2683233416210797,False
7508,first observed perimeter,0,2001-08-30,0.0,newly_added_area_km2,0.4293173465937274,0.22222222222222224,observed,,0.1,1.1269580348085346,0.4829820149179433,False
7508,expansion pulse,1,2001-08-31,0.07692307692307693,newly_added_area_km2,1.9319280596717732,1.0,4/4 threshold methods,"fixed_absolute,within_fire_percentile,fraction_of_peak,prominence",0.1,1.1269580348085346,0.4829820149179433,False
7508,peak expansion,1,2001-08-31,0.07692307692307693,newly_added_area_km2,1.9319280596717732,1.0,observed maximum geometric activity,"fixed_absolute,within_fire_percentile,fraction_of_peak,prominence",0.1,1.1269580348085346,0.4829820149179433,False
