variable,PC1_loading,PC2_loading
final_area_km2,0.36466463923085773,0.22532436805564532
observed_duration_days,1.1102230246251565e-16,-2.7755575615628914e-17
active_fraction,-0.25434681878022913,0.42108597656826513
peak_expansion_magnitude_km2,0.3695051893770925,0.1684232681648895
timing_of_peak_expansion_relative_age,0.05686621962996189,-0.42842681951644696
final_meaningful_expansion_relative_age,-0.2341257322505768,0.2907750833151234
number_of_expansion_pulses,-0.11544499292021435,0.48323135537102485
terminal_taper_fraction_of_peak,-0.2691529329536453,0.31433114435960385
geometric_trajectory_length_km2,0.3623681075442636,0.22719342948361748
space_time_volume_km2_days,0.3646646392308577,0.22532436805564518
maximum_vase_width_km,0.3749607039581469,0.17483538607030233
mean_compactness,-0.3421803100212862,0.10088357096150288
