fire_id,final_area_km2,duration_days,observation_count,peak_newly_added_area_km2,maximum_proportional_growth,relative_time_of_peak_growth,number_of_growth_pulses,pulse_prominence_km2,terminal_width_km,terminal_width_fraction_of_max,terminal_taper_slope_km_per_obs,observations_between_peak_growth_and_terminal,asymmetry_expansion_decline,climate_range_c,climate_trajectory_length_c,climate_change_terminal_window_c,geometric_trajectory_length_km2,terminal_value_tmmx_c,previous_value_tmmx_c,terminal_change_tmmx_c,terminal_window_mean_tmmx_c,terminal_window_slope_tmmx_c_per_obs,terminal_window_variance_tmmx_c,lifetime_mean_tmmx_c,active_growth_period_mean_tmmx_c,within_fire_terminal_z_tmmx,terminal_percentile_within_fire_tmmx,terminal_growth_km2,terminal_growth_fraction_of_peak,qc_class
2445,4.937149485827865,14,8,1.9319280596717732,0.391304347826087,0.5384615384615384,2,1.6099400497264775,0.6580515544596587,0.1312358477808514,-0.5076098972408731,5,4.090909084364008,5.800000000000011,14.000000000000057,1.1999999999999886,5.1518081591247284,25.350000000000023,25.55000000000001,-0.19999999999998863,25.01666666666669,0.5999999999999972,0.5733333333333174,23.65000000000002,23.407142857142876,0.8910421112136305,0.75,0.2146586732968637,0.11111111111111112,sequence gap near ending
6833,120.42351571954052,14,13,50.8741055713567,0.4224598930481284,0.46153846153846156,2,49.15683618498179,0.6580515544596587,0.02337921048325981,-12.522505707869575,7,8.132352940036345,7.0,15.699999999999989,-1.6999999999999886,102.17752848930714,24.450000000000045,26.150000000000034,-1.6999999999999886,25.58333333333337,-0.849999999999988,0.9633333333333204,28.54230769230772,29.430000000000025,-2.02467327591922,0.07692307692307693,0.2146586732968637,0.004219409282700422,sequence gap near ending
6991,26.83233416210796,14,12,9.87429897165573,0.36800000000000005,0.46153846153846156,2,8.801005605171412,1.3132746817925953,0.15717934814272388,0.13729614305890694,5,13.529411747538532,17.69999999999999,34.999999999999886,13.199999999999989,19.533939270014596,27.650000000000034,16.25,11.400000000000034,19.450000000000028,6.599999999999998,51.24000000000005,23.933333333333355,23.59545454545457,0.5737806997931288,0.6666666666666666,0.4293173465937274,0.043478260869565216,sequence gap near ending
7115,13.094179071108686,14,11,5.581125505718457,0.42622950819672134,0.38461538461538464,3,5.151808159124729,0.6580515544596587,0.08530808185267455,-2.4714128631954173,7,6.9999999924746374,4.099999999999966,14.599999999999909,-0.8999999999999773,17.38735253704596,23.150000000000034,22.150000000000034,1.0,23.116666666666692,-0.44999999999998486,0.9033333333333122,23.359090909090927,23.380000000000017,-0.1695490352070246,0.6363636363636364,0.2146586732968637,0.03846153846153846,sequence gap near ending
7149,13.30883774440555,14,9,6.225101525609047,0.467741935483871,0.38461538461538464,1,5.581125505718457,3.621404814519794,0.43680467723763167,1.481676630030068,5,6.304347820715084,10.700000000000045,21.700000000000045,-5.0,14.382131110889867,27.450000000000045,29.650000000000034,-2.1999999999999886,29.85000000000004,-2.4999999999999973,6.280000000000002,27.116666666666692,27.075000000000024,0.08775306631025129,0.5555555555555556,2.5759040795623647,0.4137931034482759,sequence gap near ending
7421,5.151808159124729,14,8,1.0732933664843187,0.20833333333333334,0.15384615384615385,0,0.42931734659372767,1.3132746817925953,0.5258114297291677,-0.179998333574921,6,1.7647058810956144,10.600000000000023,22.70000000000016,-5.5,2.5759040795623642,23.25,33.85000000000002,-10.600000000000023,28.616666666666674,-2.749999999999997,28.103333333333453,30.325000000000024,31.335714285714314,-2.2764175798247908,0.125,0.4293173465937274,0.3999999999999999,sequence gap near ending
7508,6.869077545499638,14,8,1.9319280596717732,0.28125,0.07692307692307693,2,1.2879520397811821,1.313274681794571,0.3072453071167417,-1.310446254666861,6,2.5714285693369736,15.0,28.600000000000023,11.799999999999955,4.722490812531001,27.25,25.850000000000023,1.3999999999999773,22.850000000000023,5.899999999999982,41.55999999999973,25.712500000000027,25.492857142857172,0.296552612620836,0.5,0.4293173465937274,0.22222222222222224,sequence gap near ending
16331,8.15702958528082,14,10,3.434538772749819,0.42105263157894735,0.0,3,3.005221426156092,0.6580515544596587,0.11789135425372509,-0.1903154206075613,9,6.545454534886163,9.099999999999966,24.399999999999977,7.2999999999999545,6.225101525609047,16.25,10.150000000000034,6.099999999999966,11.78333333333336,3.6499999999999795,15.323333333333148,11.500000000000028,10.972222222222253,1.5328563301982603,1.0,0.2146586732968637,0.0625,sequence gap near ending
17532,6.439760198905911,14,7,3.434538772749819,0.5333333333333333,0.3076923076923077,1,3.2198800994529555,0.6580515544596587,0.12172947250367834,-1.5400119112480728,3,4.36363635936281,11.600000000000023,33.10000000000008,-4.5,6.43976019890591,11.350000000000023,4.25,7.100000000000023,10.483333333333348,-2.249999999999998,34.203333333333475,11.235714285714307,11.216666666666688,0.030293469479223314,0.5,0.2146586732968637,0.0625,sequence gap near ending
17903,5.151808159124729,14,5,2.7905627528592283,0.5416666666666666,0.7692307692307693,2,2.146586732968637,1.0386823956747813,0.2868175332154977,-0.31729447663357013,1,6.499999987188964,12.600000000000023,21.900000000000034,7.5,5.795784179015321,19.650000000000034,15.450000000000045,4.199999999999989,15.750000000000037,3.7500000000000013,14.129999999999995,14.13000000000003,12.750000000000028,1.2925734605078794,1.0,0.4293173465937274,0.15384615384615383,sequence gap near ending
