fire_id,timestamp,observation_index,elapsed_days,time_to_end_days,relative_age,cumulative_area_km2,newly_added_area_km2,proportional_area_growth,perimeter_km,perimeter_change_km,compactness,centroid_x_m,centroid_y_m,centroid_lon,centroid_lat,centroid_displacement_km,maximum_spatial_extent_km,vase_width_km,polygon_components,tmmx_c_nearest_grid_cell,climate_mean_c,climate_median_c,climate_sd_c,climate_min_c,climate_max_c,climate_newly_added_area_c,climate_cumulative_footprint_c,climate_advancing_boundary_c,climate_support_used,region,year,month,season,elevation,vegetation_or_landcover_class,final_fire_area_km2,duration_days,observation_count,growth_above_one_pixel,growth_above_primary_threshold
2445,2001-03-16,0,0.0,-13.0,0.0,4.937149485827865,0.2146586732968637,0.043478260869565216,1.8612508661150933,,0.7853981633974483,-10533414.610254183,4346336.593744386,-122.0447331836951,39.08750001715458,0.0,0.6580515544596587,0.6580515544596587,1,20.150000000000034,20.150000000000034,20.150000000000034,,20.150000000000034,20.150000000000034,,,,nearest grid cell to event centroid,Central California Valley,2001,3,spring,,Croplands,4.937149485827865,14,8,True,True
2445,2001-03-21,1,5.0,-8.0,0.38461538461538464,4.937149485827865,0.4293173465937274,0.08695652173913043,3.7225017322301865,1.8612508661150933,0.39269908169872414,-10533646.266612446,4345409.968311329,-122.03300356289928,39.07916766807777,0.9551436339686376,2.9694600288531223,2.9694600288531223,2,25.950000000000045,25.950000000000045,25.950000000000045,,25.950000000000045,25.950000000000045,,,,nearest grid cell to event centroid,Central California Valley,2001,3,spring,,Croplands,4.937149485827865,14,8,True,True
2445,2001-03-23,2,7.0,-6.0,0.5384615384615384,4.937149485827865,1.9319280596717732,0.391304347826087,13.004756062794478,9.28225433056429,0.1445128528666567,-10534289.988015657,4344946.323534702,-122.03324894133738,39.07499785033822,0.7933118704811416,5.014266799712592,5.014266799712592,4,23.75,23.75,23.75,,23.75,23.75,,,,nearest grid cell to event centroid,Central California Valley,2001,3,spring,,Croplands,4.937149485827865,14,8,True,True
2445,2001-03-25,3,9.0,-4.0,0.6923076923076923,4.937149485827865,0.2146586732968637,0.043478260869565216,1.8612508661150933,-11.143505196679385,0.7853981633974483,-10534804.548403766,4344946.6555948015,-122.03921275140121,39.07500001714648,0.5145604952525035,0.6580515544596587,0.6580515544596587,1,21.75,21.75,21.75,,21.75,21.75,,,,nearest grid cell to event centroid,Central California Valley,2001,3,spring,,Croplands,4.937149485827865,14,8,True,True
2445,2001-03-26,4,10.0,-3.0,0.7692307692307693,4.937149485827865,1.0732933664843187,0.21739130434782614,8.355628897510469,6.494378031395375,0.19468599753957844,-10533507.157321673,4344668.825359379,-122.01986305494783,39.07250168833385,1.3268056600760065,3.343769059024288,3.343769059024288,2,22.55000000000001,22.55000000000001,22.55000000000001,,22.55000000000001,22.55000000000001,,,,nearest grid cell to event centroid,Central California Valley,2001,3,spring,,Croplands,4.937149485827865,14,8,True,True
2445,2001-03-27,5,11.0,-2.0,0.8461538461538461,4.937149485827865,0.6439760198905912,0.13043478260869568,4.641127165282145,-3.7145017322283236,0.37839786309781637,-10533414.94120442,4345255.309629456,-122.02791534606871,39.07777586087883,0.5936898275440643,1.673271348941405,1.673271348941405,1,24.150000000000034,24.150000000000034,24.150000000000034,,24.150000000000034,24.150000000000034,,,,nearest grid cell to event centroid,Central California Valley,2001,3,spring,,Croplands,4.937149485827865,14,8,True,True
2445,2001-03-28,6,12.0,-1.0,0.9230769230769231,4.937149485827865,0.2146586732968637,0.043478260869565216,1.8612508661150933,-2.779876299167052,0.7853981633974483,-10533414.610254183,4344946.6555948015,-122.02311117526197,39.075000017146486,0.30865421208308136,0.6580515544596587,0.6580515544596587,1,25.55000000000001,25.55000000000001,25.55000000000001,,25.55000000000001,25.55000000000001,,,,nearest grid cell to event centroid,Central California Valley,2001,3,spring,,Croplands,4.937149485827865,14,8,True,True
2445,2001-03-29,7,13.0,0.0,1.0,4.937149485827865,0.2146586732968637,0.043478260869565216,1.8612508661150933,0.0,0.7853981633974483,-10534341.235687237,4344020.030161746,-122.01943710121347,39.06666668380775,1.3104462546658735,0.6580515544596587,0.6580515544596587,1,25.350000000000023,25.350000000000023,25.350000000000023,,25.350000000000023,25.350000000000023,,,,nearest grid cell to event centroid,Central California Valley,2001,3,spring,,Croplands,4.937149485827865,14,8,True,True
6833,2001-08-07,0,0.0,-13.0,0.0,120.42351571954052,0.2146586732968637,0.0017825311942959003,1.8612508661150933,,0.7853981633974483,-10069638.581009742,4577066.326575289,-120.28801437441673,41.162500018547,0.0,0.6580515544596587,0.6580515544596587,1,31.150000000000034,31.150000000000034,31.150000000000034,,31.150000000000034,31.150000000000034,,,,nearest grid cell to event centroid,Eastern Cascades Slopes and Foothills,2001,8,summer,,Grasslands,120.42351571954052,14,13,True,False
6833,2001-08-08,1,1.0,-12.0,0.07692307692307693,120.42351571954052,0.8586346931874548,0.007130124777183601,7.437003464460373,5.57575259834528,0.19677128645456599,-10066511.21107875,4577529.638221883,-120.25831011425383,41.16667078153647,3.1615028652750836,9.64370042113276,9.64370042113276,3,31.450000000000045,31.450000000000045,31.450000000000045,,31.450000000000045,31.450000000000045,,,,nearest grid cell to event centroid,Eastern Cascades Slopes and Foothills,2001,8,summer,,Grasslands,120.42351571954052,14,13,True,True
