fire_id,timestamp,observation_index,observation_count,gap_days_since_previous,elapsed_days,relative_age_observed,observed_sequence_duration_days,candidate_event_window_days,time_to_terminal_observed_days,cumulative_area_km2,newly_added_area_km2,proportional_area_growth,perimeter_km,perimeter_change_km,compactness,equivalent_radius_km,equivalent_radius_change_km,vase_width_km,vase_width_change_km,centroid_x_m,centroid_y_m,centroid_lon,centroid_lat,centroid_displacement_km,polygon_components,space_time_volume_increment_km2_days,space_time_volume_cumulative_km2_days,pixel_area_estimate_km2,is_first_observation,is_terminal_observed_record,physical_extinction_observed,date_source,fire_source,tmmx_c,tmmn_c,vpd_kpa,wind_speed_m_s,tmmx_c_change,tmmx_c_z_within_fire,tmmx_c_percentile_within_fire,tmmn_c_change,tmmn_c_z_within_fire,tmmn_c_percentile_within_fire,vpd_kpa_change,vpd_kpa_z_within_fire,vpd_kpa_percentile_within_fire,wind_speed_m_s_change,wind_speed_m_s_z_within_fire,wind_speed_m_s_percentile_within_fire,is_expansion_pulse,is_peak_expansion,is_final_meaningful_expansion,is_quiescence_onset,developmental_state
2445,2001-03-16,0,8,0,0.0,0.0,13.0,14,-13.0,4.937149485827865,0.2146586732968637,0.043478260869565216,1.8612508661150933,,0.7853981633974483,1.253612177232747,,0.4653127165287733,,-10533414.610254183,4346336.593744386,-122.0447331836951,39.08750001715458,0.0,1,0.0,0.0,0.2146586732968637,True,False,False,FIRED daily date column,cached FIRED candidate event polygons,20.150000000000034,5.25,0.79,3.5,,-1.8344984642633466,0.125,,-1.5245734893157268,0.125,,-1.2442276022419736,0.1875,,-0.37546524875458975,0.5,False,False,False,False,low activity
2445,2001-03-21,1,8,5,5.0,0.38461538461538464,13.0,14,-8.0,4.937149485827865,0.4293173465937274,0.08695652173913043,3.7225017322301865,1.8612508661150933,0.39269908169872414,1.253612177232747,0.0,2.3185635826410724,1.853250866112299,-10533646.266612446,4345409.968311329,-122.03300356289928,39.07916766807777,0.9551436339686376,2,24.685747429139326,24.685747429139326,0.2146586732968637,False,False,False,FIRED daily date column,cached FIRED candidate event polygons,25.950000000000045,13.550000000000011,1.01,1.8,5.800000000000011,1.2055275622302175,1.0,8.300000000000011,1.4182078970378769,1.0,0.21999999999999997,0.16857277191665448,0.625,-1.7,-1.7555537306633513,0.125,False,False,False,False,low activity
2445,2001-03-23,2,8,2,7.0,0.5384615384615384,13.0,14,-6.0,4.937149485827865,1.9319280596717732,0.391304347826087,13.004756062794478,9.28225433056429,0.1445128528666567,1.253612177232747,0.0,4.171814448753372,1.8532508661122993,-10534289.988015657,4344946.323534702,-122.03324894133738,39.07499785033822,0.7933118704811416,4,9.87429897165573,34.56004640079506,0.2146586732968637,False,False,False,FIRED daily date column,cached FIRED candidate event polygons,23.75,8.950000000000045,0.79,3.0,-2.2000000000000455,0.0524142418360854,0.5,-4.599999999999966,-0.21273118455567233,0.5,-0.21999999999999997,-1.2442276022419736,0.1875,1.2,-0.7813736257865784,0.25,True,True,False,False,major expansion
2445,2001-03-25,3,8,2,9.0,0.6923076923076923,13.0,14,-4.0,4.937149485827865,0.2146586732968637,0.043478260869565216,1.8612508661150933,-11.143505196679385,0.7853981633974483,1.253612177232747,0.0,0.4653127165287733,-3.7065017322245986,-10534804.548403766,4344946.6555948015,-122.03921275140121,39.07500001714648,0.5145604952525035,1,9.87429897165573,44.43434537245079,0.2146586732968637,False,False,False,FIRED daily date column,cached FIRED candidate event polygons,21.75,11.150000000000034,0.8300000000000001,3.4000000000000004,-2.0,-0.9958705948858312,0.25,2.1999999999999886,0.5672831588151572,0.75,0.040000000000000036,-0.9873548069404046,0.375,0.40000000000000036,-0.45664692416098723,0.375,False,False,False,False,low activity
2445,2001-03-26,4,8,1,10.0,0.7692307692307693,13.0,14,-3.0,4.937149485827865,1.0732933664843187,0.21739130434782614,8.355628897510469,6.494378031395375,0.19468599753957844,1.253612177232747,0.0,2.7818762991689145,2.3165635826401414,-10533507.157321673,4344668.825359379,-122.01986305494783,39.07250168833385,1.3268056600760065,2,4.937149485827865,49.37149485827866,0.2146586732968637,False,False,False,FIRED daily date column,cached FIRED candidate event polygons,22.55000000000001,7.75,1.0,4.6000000000000005,0.8000000000000114,-0.5765566601970585,0.375,-3.400000000000034,-0.6381935536670522,0.375,0.16999999999999993,0.10435457309126223,0.5,1.2000000000000002,0.5175331807157857,0.75,True,False,False,False,major expansion
2445,2001-03-27,5,8,1,11.0,0.8461538461538461,13.0,14,-2.0,4.937149485827865,0.6439760198905912,0.13043478260869568,4.641127165282145,-3.7145017322283236,0.37839786309781637,1.253612177232747,0.0,1.3919381495844574,-1.3899381495844572,-10533414.94120442,4345255.309629456,-122.02791534606871,39.07777586087883,0.5936898275440643,1,4.937149485827865,54.308644344106526,0.2146586732968637,False,False,False,FIRED daily date column,cached FIRED candidate event polygons,24.150000000000034,6.25,1.07,5.300000000000001,1.6000000000000227,0.2620712091804866,0.625,-1.5,-1.170021515056257,0.25,0.07000000000000006,0.553881964869008,0.75,0.7000000000000002,1.0858049085605699,0.875,False,False,True,False,active expansion
2445,2001-03-28,6,8,1,12.0,0.9230769230769231,13.0,14,-1.0,4.937149485827865,0.2146586732968637,0.043478260869565216,1.8612508661150933,-2.779876299167052,0.7853981633974483,1.253612177232747,0.0,0.4653127165287733,-0.926625433055684,-10533414.610254183,4344946.6555948015,-122.02311117526197,39.075000017146486,0.30865421208308136,1,4.937149485827865,59.24579382993439,0.2146586732968637,False,False,False,FIRED daily date column,cached FIRED candidate event polygons,25.55000000000001,12.850000000000023,1.22,4.2,1.3999999999999773,0.9958705948858163,0.875,6.600000000000023,1.1700215150562518,0.875,0.1499999999999999,1.5171549472498902,1.0,-1.1000000000000005,0.19280647909019447,0.625,False,False,False,True,quiescence
2445,2001-03-29,7,8,1,13.0,1.0,13.0,14,0.0,4.937149485827865,0.2146586732968637,0.043478260869565216,1.8612508661150933,0.0,0.7853981633974483,1.253612177232747,0.0,0.4653127165287733,0.0,-10534341.235687237,4344020.030161746,-122.01943710121347,39.06666668380775,1.3104462546658735,1,4.937149485827865,64.18294331576226,0.2146586732968637,False,True,False,FIRED daily date column,cached FIRED candidate event polygons,25.350000000000023,10.650000000000034,1.16,5.9,-0.19999999999998863,0.8910421112136305,0.75,-2.1999999999999886,0.39000717168542237,0.625,-0.06000000000000005,1.1318457542975369,0.875,1.7000000000000002,1.572894960998956,1.0,False,False,False,False,quiescence
6833,2001-08-07,0,13,0,0.0,0.0,13.0,14,-13.0,120.42351571954052,0.2146586732968637,0.0017825311942959003,1.8612508661150933,,0.7853981633974483,6.191283839603776,,0.4653127165287733,,-10069638.581009742,4577066.326575289,-120.28801437441673,41.162500018547,0.0,1,0.0,0.0,0.2146586732968637,True,False,False,FIRED daily date column,cached FIRED candidate event polygons,31.150000000000034,11.75,2.2800000000000002,2.4000000000000004,,1.2901583468733466,0.9230769230769231,,0.7337618279644227,0.7692307692307693,,1.1450331811905665,0.9230769230769231,,-1.260482001653261,0.15384615384615385,False,False,False,False,low activity
6833,2001-08-08,1,13,1,1.0,0.07692307692307693,13.0,14,-12.0,120.42351571954052,0.8586346931874548,0.007130124777183601,7.437003464460373,5.57575259834528,0.19677128645456599,6.191283839603776,0.0,7.87831618097797,7.413003464449197,-10066511.21107875,4577529.638221883,-120.25831011425383,41.16667078153647,3.1615028652750836,3,120.42351571954052,120.42351571954052,0.2146586732968637,False,False,False,FIRED daily date column,cached FIRED candidate event polygons,31.450000000000045,13.850000000000023,2.36,2.2,0.30000000000001137,1.4385836434163033,1.0,2.1000000000000227,1.640173497802848,1.0,0.07999999999999963,1.5005061687840535,1.0,-0.20000000000000018,-1.5667673478493809,0.07692307692307693,False,False,False,False,low activity
