fire_id_a,fire_id_b,climate_distance,morphology_distance
388151,229439,0.1302451658525266,5.034801411063714
324458,320916,0.19973633042591973,5.310742724998218
56916,307442,0.14635880217239536,4.372729599029069
245058,354993,0.1160977037662435,7.251722864126375
328989,371104,0.0660219466456755,9.71454063525814
287516,244027,0.34521878446721493,4.2633748473706135
418001,225489,0.09830651689611639,6.595733409972701
132094,376360,0.18294888534557396,5.697328763079106
216979,216610,0.10095158629412283,4.41261572223149
149367,281760,0.1609598982274322,4.023538660165195
302625,134027,0.09509488881971712,6.2791951352484245
78901,315737,0.493955047457851,4.6912725709145535
258641,6832,0.1381275099088152,3.269735824888395
370963,437207,0.08565741090453143,2.7834364764607726
199801,158385,0.29430387347291237,6.512682432672016
31571,257002,0.07529877728721973,16.908757393455012
380151,867,0.12972681545385728,3.4387071123862727
419908,268341,0.09385463152097473,6.7744407788117655
365491,235605,0.2316070623050103,5.465652940289555
18007,300361,0.09540024091037672,5.179179826945782
46864,257955,0.1895730538167793,9.211459706306787
27285,114636,0.09507660523064153,5.741080379695101
161044,200745,0.049896264795372736,3.916604848163865
438295,81306,0.09426789256783119,6.6563631384124715
264591,182607,0.1083740503989286,6.474320139707078
25337,297722,0.10555739984268915,8.551433060725683
263368,177714,0.13801724459686052,3.7134132194746314
290570,163936,0.16244171536922858,6.488816367855335
430934,273997,0.2290797836793575,8.536867854150614
118138,54885,0.2879687147252326,3.1247317872021068
150461,141815,0.08336615098123012,3.6136603761707464
261386,174021,0.08078323447672495,4.12065467808072
215924,411871,0.13677997678041137,3.9164993979059806
101548,40840,0.3415259668827604,4.953473892978558
327234,248211,0.07493961387714647,5.37057849715173
201373,88850,0.04092055045244348,3.63263909026566
421546,82212,0.05250095966855779,3.5744841223439883
217973,177452,0.10924367580544511,6.445973365349259
344211,61753,0.07561295398504427,5.112896358339785
118884,289424,0.16251194827130613,4.809619831233745
285587,422492,0.4682257384654127,3.0891857007926293
321,85560,0.3219668701799515,4.561238012226367
157476,32972,0.192542003504734,6.5565499479739735
19320,119983,0.312457798136291,3.4642467689693817
114658,302258,0.09593874805083318,5.019792184905492
338628,282925,0.08625836984087759,5.313153355683905
194328,216228,0.121001060351031,4.150630049419154
379585,94657,0.061396018383044065,5.756446159477272
187111,378962,0.1294131543321157,6.500126806645423
308226,170734,0.10059979930527979,6.301852940620273
295134,103982,0.10724411974064715,3.36069551642784
88088,51684,0.0859301352502632,5.022449657523737
149974,240152,0.07193291922939872,4.712524405059895
289623,227683,0.07158431420711737,5.027755743798039
200768,13059,0.21040872116632828,5.37057849715173
131746,198762,0.12549340982453625,5.078229227211893
438500,375473,0.27532582531396144,3.6280733702672343
125901,40087,0.045611739207031786,4.099364844260735
339437,382495,0.1779672714019639,4.455038655778512
257496,413215,0.15547964156064145,5.353158948550172
300808,363526,0.14950076654937608,4.98987041662376
203604,282277,0.12827636306549045,6.810874210069343
