feature_set,pc1_target,pearson_r
interpolated profile features removed,observation_count,-0.7769394700090746
interpolated profile features removed,log_peak_growth_km2_per_day,-0.2534983126275325
interpolated profile features removed,front_loaded_fraction,0.913607781203936
interpolated profile features removed,late_growth_fraction,-0.7387275399807234
interpolated profile features removed,terminal_taper_fraction,0.668650973421413
interpolated profile features removed,growth_entropy,-0.8899337100137676
interpolated profile features removed,width_p05,0.8907724255141043
interpolated profile features removed,growth_p05,0.9428474444314454
summary features removed retaining profiles,log_final_area_km2,-0.8090256648395849
summary features removed retaining profiles,log_duration_days,-0.939726462555772
summary features removed retaining profiles,observation_count,-0.7149504134196523
summary features removed retaining profiles,log_peak_growth_km2_per_day,-0.1988901638995473
summary features removed retaining profiles,front_loaded_fraction,0.9486000304607313
summary features removed retaining profiles,late_growth_fraction,-0.773365412053442
summary features removed retaining profiles,terminal_taper_fraction,0.6044697580139176
summary features removed retaining profiles,growth_entropy,-0.9156247787059905
summary features removed retaining profiles,width_p05,0.925657476796115
summary features removed retaining profiles,growth_p05,0.9645075431846127
profiles normalized independently of final size,log_final_area_km2,-0.8090256648395849
profiles normalized independently of final size,log_duration_days,-0.939726462555772
profiles normalized independently of final size,observation_count,-0.7149504134196523
profiles normalized independently of final size,log_peak_growth_km2_per_day,-0.1988901638995473
profiles normalized independently of final size,front_loaded_fraction,0.9486000304607313
profiles normalized independently of final size,late_growth_fraction,-0.773365412053442
profiles normalized independently of final size,terminal_taper_fraction,0.6044697580139176
profiles normalized independently of final size,growth_entropy,-0.9156247787059905
profiles normalized independently of final size,width_p05,0.925657476796115
profiles normalized independently of final size,growth_p05,0.9645075431846127
duration >= 2 days,log_final_area_km2,-0.7187226871173035
duration >= 2 days,log_duration_days,-0.7641906748240912
duration >= 2 days,observation_count,-0.7567583253331168
duration >= 2 days,log_peak_growth_km2_per_day,-0.3926241401759
duration >= 2 days,front_loaded_fraction,0.7249126325076504
duration >= 2 days,late_growth_fraction,0.15138959808344718
duration >= 2 days,terminal_taper_fraction,0.32706864053723744
duration >= 2 days,growth_entropy,0.22411337053707872
duration >= 2 days,width_p05,0.686553104980671
duration >= 2 days,growth_p05,0.7358871996911587
duration >= 4 days,log_final_area_km2,-0.7567772824134408
duration >= 4 days,log_duration_days,-0.7378341737201739
duration >= 4 days,observation_count,-0.7719277448426186
duration >= 4 days,log_peak_growth_km2_per_day,-0.5710243405832651
duration >= 4 days,front_loaded_fraction,0.6380462620478863
duration >= 4 days,late_growth_fraction,0.15661828297268504
duration >= 4 days,terminal_taper_fraction,0.38630561395544577
duration >= 4 days,growth_entropy,0.2507681688648706
duration >= 4 days,width_p05,0.6106509536710124
duration >= 4 days,growth_p05,0.6852184658624876
duration >= 8 days,log_final_area_km2,-0.6187824053342653
duration >= 8 days,log_duration_days,-0.6163212448761334
duration >= 8 days,observation_count,-0.7004193060689662
duration >= 8 days,log_peak_growth_km2_per_day,-0.50430845004775
duration >= 8 days,front_loaded_fraction,0.6631536217698893
duration >= 8 days,late_growth_fraction,-0.254616896913047
duration >= 8 days,terminal_taper_fraction,0.1883895153424967
duration >= 8 days,growth_entropy,0.14381979868284012
duration >= 8 days,width_p05,0.6628635484287403
duration >= 8 days,growth_p05,0.4502264926895988
duration >= 10 days,log_final_area_km2,-0.8736155680637917
duration >= 10 days,log_duration_days,-0.650075829337113
duration >= 10 days,observation_count,-0.8314807433140536
duration >= 10 days,log_peak_growth_km2_per_day,-0.7916433592163974
duration >= 10 days,front_loaded_fraction,0.057874279059330756
duration >= 10 days,late_growth_fraction,0.3758079344749104
duration >= 10 days,terminal_taper_fraction,0.628604890857126
duration >= 10 days,growth_entropy,0.3522164308190397
duration >= 10 days,width_p05,0.06596212141435932
duration >= 10 days,growth_p05,0.36149418824249174
