fire_id,timestamp,observation_index,observation_count,gap_days_since_previous,elapsed_days,relative_age_observed,observed_sequence_duration_days,candidate_event_window_days,time_to_terminal_observed_days,cumulative_area_km2,newly_added_area_km2,proportional_area_growth,perimeter_km,perimeter_change_km,compactness,equivalent_radius_km,equivalent_radius_change_km,vase_width_km,vase_width_change_km,centroid_x_m,centroid_y_m,centroid_lon,centroid_lat,centroid_displacement_km,polygon_components,space_time_volume_increment_km2_days,space_time_volume_cumulative_km2_days,pixel_area_estimate_km2,is_first_observation,is_terminal_observed_record,physical_extinction_observed,date_source,fire_source,tmmx_c,tmmn_c,vpd_kpa,wind_speed_m_s,tmmx_c_change,tmmx_c_z_within_fire,tmmx_c_percentile_within_fire,tmmn_c_change,tmmn_c_z_within_fire,tmmn_c_percentile_within_fire,vpd_kpa_change,vpd_kpa_z_within_fire,vpd_kpa_percentile_within_fire,wind_speed_m_s_change,wind_speed_m_s_z_within_fire,wind_speed_m_s_percentile_within_fire,is_expansion_pulse,is_peak_expansion,is_final_meaningful_expansion,is_quiescence_onset,developmental_state
961,2001-01-12,0,21,0,0.0,0.0,24.0,25,-24.0,48.72751883838807,1.2879520397811823,0.026431718061674006,9.29825433057174,,0.1885495252462272,3.9383309885617566,,13.438068779310212,,-7997396.78864433,2971069.1271791914,-80.52027566354404,26.719438400100998,0.0,4,0.0,0.0,0.2146586732968637,True,False,False,FIRED daily date column,cached FIRED candidate event polygons,25.25,9.650000000000034,0.97,3.3000000000000003,,0.2575234829515628,0.5238095238095238,,-0.18087604276927402,0.42857142857142855,,0.5830768323761794,0.7380952380952381,,0.16741910056874718,0.6428571428571429,False,False,False,False,low activity
961,2001-01-13,1,21,1,1.0,0.041666666666666664,24.0,25,-23.0,48.72751883838807,0.2146586732968637,0.0044052863436123335,1.8612508661150933,-7.437003464456647,0.7853981633974483,3.9383309885617566,0.0,0.4653127165287733,-12.97275606278144,-7998167.425413424,2970297.8256564746,-80.52313155231846,26.712500010389803,1.090315123634353,1,48.72751883838807,48.72751883838807,0.2146586732968637,False,False,False,FIRED daily date column,cached FIRED candidate event polygons,20.75,6.350000000000023,0.61,3.3000000000000003,-4.5,-0.8796713366242834,0.2619047619047619,-3.3000000000000114,-0.9405554224002319,0.2857142857142857,-0.36,-1.3251746190367735,0.09523809523809523,0.0,0.16741910056874718,0.6428571428571429,False,False,False,False,low activity
961,2001-01-14,2,21,1,2.0,0.08333333333333333,24.0,25,-22.0,48.72751883838807,1.502610713078046,0.030837004405286337,10.224879763628357,8.363628897513264,0.1818362996772683,3.9383309885617566,0.0,8.341628897503018,7.876316180974245,-7998238.295271974,2971620.7415993316,-80.5322618006562,26.724397677307127,1.324812865546006,4,48.72751883838807,97.45503767677614,0.2146586732968637,False,False,False,FIRED daily date column,cached FIRED candidate event polygons,23.75,8.350000000000023,0.68,2.0,3.0,-0.12154145690705262,0.38095238095238093,2.0,-0.4801436771693499,0.3333333333333333,0.07000000000000006,-0.9541257257064767,0.19047619047619047,-1.3000000000000003,-1.0678623711952537,0.16666666666666666,False,False,False,False,low activity
961,2001-01-15,3,21,1,3.0,0.125,24.0,25,-21.0,48.72751883838807,0.8586346931874548,0.017621145374449334,6.502378031399101,-3.7225017322292553,0.25712620543632925,3.9383309885617566,0.0,2.318563582640141,-6.023065314862876,-7990290.364862574,2973657.463159532,-80.46519153233317,26.7427141798705,8.20474451195443,2,48.72751883838807,146.1825565151642,0.2146586732968637,False,False,False,FIRED daily date column,cached FIRED candidate event polygons,25.450000000000045,11.950000000000045,0.84,2.0,1.7000000000000455,0.308065474932723,0.6190476190476191,3.6000000000000227,0.3485974642462429,0.5714285714285714,0.15999999999999992,-0.10601396952294251,0.5238095238095238,0.0,-1.0678623711952537,0.16666666666666666,False,False,False,False,low activity
961,2001-01-16,4,21,1,4.0,0.16666666666666666,24.0,25,-20.0,48.72751883838807,4.293173465937275,0.08810572687224669,31.593264723934233,25.090886692535133,0.05444764748032658,3.9383309885617566,0.0,14.828006928893737,12.509443346253596,-7994693.589456839,2972822.2509364267,-80.50421165883112,26.73520535099361,4.481736971884691,11,48.72751883838807,194.9100753535523,0.2146586732968637,False,False,False,FIRED daily date column,cached FIRED candidate event polygons,25.450000000000045,13.75,0.75,2.6,0.0,0.308065474932723,0.6190476190476191,1.7999999999999545,0.7629680349540262,0.6666666666666666,-0.08999999999999997,-0.5830768323761806,0.40476190476190477,0.6000000000000001,-0.4977324611503303,0.42857142857142855,True,False,False,False,active expansion
961,2001-01-17,5,21,1,5.0,0.20833333333333334,24.0,25,-19.0,48.72751883838807,2.146586732968637,0.044052863436123336,15.800632361970841,-15.792632361963392,0.10884026795572467,3.9383309885617566,0.0,9.731567047086545,-5.096439881807193,-7990756.418070061,2974234.584533843,-80.47355971820133,26.747906514721034,4.182822578026752,6,48.72751883838807,243.63759419194037,0.2146586732968637,False,False,False,FIRED daily date column,cached FIRED candidate event polygons,25.450000000000045,16.850000000000023,0.81,2.5,0.0,0.308065474932723,0.6190476190476191,3.1000000000000227,1.4766062400618984,1.0,0.06000000000000005,-0.26503492380735477,0.47619047619047616,-0.10000000000000009,-0.5927541128244843,0.3333333333333333,False,False,False,False,low activity
961,2001-01-18,6,21,1,6.0,0.25,24.0,25,-18.0,48.72751883838807,5.79578417901532,0.11894273127753302,43.63139535365813,27.830762991687287,0.038545889192626526,3.9383309885617566,0.0,17.14457051153388,7.413003464447334,-7996980.613809491,2971654.4733080645,-80.5198053989328,26.724705485062472,6.737773114325009,10,48.72751883838807,292.3651130303284,0.2146586732968637,False,False,False,FIRED daily date column,cached FIRED candidate event polygons,27.75,14.650000000000034,1.0,2.6,2.2999999999999545,0.8892983827159219,0.8095238095238095,-2.1999999999999886,0.970153320307931,0.8095238095238095,0.18999999999999995,0.7420977866605922,0.8571428571428571,0.10000000000000009,-0.4977324611503303,0.42857142857142855,False,False,False,False,major expansion
961,2001-01-19,7,21,1,7.0,0.2916666666666667,24.0,25,-17.0,48.72751883838807,8.801005605171412,0.1806167400881057,51.068398818118496,7.437003464460368,0.04265283141461136,3.9383309885617566,0.0,15.291319645421579,-1.8532508661122993,-7998060.424113277,2971914.581388496,-80.53233734846884,26.72704155044606,1.110696405715693,13,48.72751883838807,341.09263186871647,0.2146586732968637,False,False,False,FIRED daily date column,cached FIRED candidate event polygons,28.850000000000023,14.950000000000045,1.0,4.1000000000000005,1.1000000000000227,1.1672793386122455,0.9047619047619048,0.30000000000001137,1.0392150820925659,0.8809523809523809,0.0,0.7420977866605922,0.8571428571428571,1.5000000000000004,0.9275923139619786,0.8095238095238095,True,True,False,False,major expansion
961,2001-01-20,8,21,1,8.0,0.3333333333333333,24.0,25,-16.0,48.72751883838807,4.293173465937275,0.08810572687224669,28.8053884247737,-22.263010393344796,0.06545472622357262,3.9383309885617566,0.0,18.99782137764618,3.7065017322246003,-7999926.681868245,2971919.471761142,-80.55115590536197,26.727088060009986,1.8662641623631766,10,48.72751883838807,389.8201507071045,0.2146586732968637,False,False,False,FIRED daily date column,cached FIRED candidate event polygons,25.05000000000001,10.650000000000034,0.73,4.800000000000001,-3.8000000000000114,0.20698149097041693,0.47619047619047616,-4.300000000000011,0.04932982984616698,0.5,-0.27,-0.6890908018991224,0.3333333333333333,0.7000000000000002,1.5927438756810561,0.9523809523809523,False,False,False,False,active expansion
961,2001-01-21,9,21,1,9.0,0.375,24.0,25,-15.0,48.72751883838807,3.649197446046683,0.07488986784140968,26.968137558663265,-1.837250866110434,0.06351807806454614,3.9383309885617566,0.0,14.828006928893737,-4.169814448752442,-7997051.542022159,2971360.598796208,-80.51865561278237,26.72206043891765,2.9289534181142343,12,48.72751883838807,438.54766954549257,0.2146586732968637,False,False,False,FIRED daily date column,cached FIRED candidate event polygons,16.75,4.9500000000000455,0.58,4.4,-8.300000000000011,-1.890511176247258,0.047619047619047616,-5.699999999999989,-1.262843644061844,0.19047619047619047,-0.15000000000000002,-1.4841955733211862,0.047619047619047616,-0.40000000000000036,1.2126572689844402,0.8571428571428571,False,False,False,False,active expansion
