fire_id,anchor_event_type,anchor_observation_index,lag_observations,lag_days,activity_value,developmental_state,tmmx_c,tmmx_c_z_within_fire,tmmx_c_change,tmmn_c,tmmn_c_z_within_fire,tmmn_c_change,vpd_kpa,vpd_kpa_z_within_fire,vpd_kpa_change,wind_speed_m_s,wind_speed_m_s_z_within_fire,wind_speed_m_s_change
961,first observed perimeter,0,0,0.0,1.2879520397811823,low activity,25.25,0.2575234829515628,,9.650000000000034,-0.18087604276927402,,0.97,0.5830768323761794,,3.3000000000000003,0.16741910056874718,
961,first observed perimeter,0,1,1.0,0.2146586732968637,low activity,20.75,-0.8796713366242834,-4.5,6.350000000000023,-0.9405554224002319,-3.3000000000000114,0.61,-1.3251746190367735,-0.36,3.3000000000000003,0.16741910056874718,0.0
961,first observed perimeter,0,2,2.0,1.502610713078046,low activity,23.75,-0.12154145690705262,3.0,8.350000000000023,-0.4801436771693499,2.0,0.68,-0.9541257257064767,0.07000000000000006,2.0,-1.0678623711952537,-1.3000000000000003
961,first observed perimeter,0,3,3.0,0.8586346931874548,low activity,25.450000000000045,0.308065474932723,1.7000000000000455,11.950000000000045,0.3485974642462429,3.6000000000000227,0.84,-0.10601396952294251,0.15999999999999992,2.0,-1.0678623711952537,0.0
961,expansion pulse,4,-3,-3.0,0.2146586732968637,low activity,20.75,-0.8796713366242834,-4.5,6.350000000000023,-0.9405554224002319,-3.3000000000000114,0.61,-1.3251746190367735,-0.36,3.3000000000000003,0.16741910056874718,0.0
961,expansion pulse,4,-2,-2.0,1.502610713078046,low activity,23.75,-0.12154145690705262,3.0,8.350000000000023,-0.4801436771693499,2.0,0.68,-0.9541257257064767,0.07000000000000006,2.0,-1.0678623711952537,-1.3000000000000003
961,expansion pulse,4,-1,-1.0,0.8586346931874548,low activity,25.450000000000045,0.308065474932723,1.7000000000000455,11.950000000000045,0.3485974642462429,3.6000000000000227,0.84,-0.10601396952294251,0.15999999999999992,2.0,-1.0678623711952537,0.0
961,expansion pulse,4,0,0.0,4.293173465937275,active expansion,25.450000000000045,0.308065474932723,0.0,13.75,0.7629680349540262,1.7999999999999545,0.75,-0.5830768323761806,-0.08999999999999997,2.6,-0.4977324611503303,0.6000000000000001
961,expansion pulse,4,1,1.0,2.146586732968637,low activity,25.450000000000045,0.308065474932723,0.0,16.850000000000023,1.4766062400618984,3.1000000000000227,0.81,-0.26503492380735477,0.06000000000000005,2.5,-0.5927541128244843,-0.10000000000000009
961,expansion pulse,4,2,2.0,5.79578417901532,major expansion,27.75,0.8892983827159219,2.2999999999999545,14.650000000000034,0.970153320307931,-2.1999999999999886,1.0,0.7420977866605922,0.18999999999999995,2.6,-0.4977324611503303,0.10000000000000009
961,expansion pulse,4,3,3.0,8.801005605171412,major expansion,28.850000000000023,1.1672793386122455,1.1000000000000227,14.950000000000045,1.0392150820925659,0.30000000000001137,1.0,0.7420977866605922,0.0,4.1000000000000005,0.9275923139619786,1.5000000000000004
961,expansion pulse,7,-3,-3.0,4.293173465937275,active expansion,25.450000000000045,0.308065474932723,0.0,13.75,0.7629680349540262,1.7999999999999545,0.75,-0.5830768323761806,-0.08999999999999997,2.6,-0.4977324611503303,0.6000000000000001
961,expansion pulse,7,-2,-2.0,2.146586732968637,low activity,25.450000000000045,0.308065474932723,0.0,16.850000000000023,1.4766062400618984,3.1000000000000227,0.81,-0.26503492380735477,0.06000000000000005,2.5,-0.5927541128244843,-0.10000000000000009
961,expansion pulse,7,-1,-1.0,5.79578417901532,major expansion,27.75,0.8892983827159219,2.2999999999999545,14.650000000000034,0.970153320307931,-2.1999999999999886,1.0,0.7420977866605922,0.18999999999999995,2.6,-0.4977324611503303,0.10000000000000009
961,expansion pulse,7,0,0.0,8.801005605171412,major expansion,28.850000000000023,1.1672793386122455,1.1000000000000227,14.950000000000045,1.0392150820925659,0.30000000000001137,1.0,0.7420977866605922,0.0,4.1000000000000005,0.9275923139619786,1.5000000000000004
961,expansion pulse,7,1,1.0,4.293173465937275,active expansion,25.05000000000001,0.20698149097041693,-3.8000000000000114,10.650000000000034,0.04932982984616698,-4.300000000000011,0.73,-0.6890908018991224,-0.27,4.800000000000001,1.5927438756810561,0.7000000000000002
961,expansion pulse,7,2,2.0,3.649197446046683,active expansion,16.75,-1.890511176247258,-8.300000000000011,4.9500000000000455,-1.262843644061844,-5.699999999999989,0.58,-1.4841955733211862,-0.15000000000000002,4.4,1.2126572689844402,-0.40000000000000036
961,expansion pulse,7,3,4.0,1.2879520397811823,low activity,16.850000000000023,-1.8652401802566778,0.10000000000002274,3.25,-1.6541936275081042,-1.7000000000000455,0.63,-1.2191606495138314,0.050000000000000044,4.800000000000001,1.5927438756810561,0.40000000000000036
