kind,fold,stage,feature,center,scale,train_n,pc1_loading,pc1_evr
random_fire,0,length_plus_max,log_observations,1.6125086281,0.313977126184,7341,,
random_fire,0,length_plus_max,max_vpd,1.6387971666,0.856072873898,7341,,
random_fire,0,length_plus_core,log_duration,1.6125086281,0.313977126184,7341,,
random_fire,0,length_plus_core,log_observations,1.6125086281,0.313977126184,7341,,
random_fire,0,length_plus_core,mean_maximum_temperature_c,25.5634605403,7.32247685253,7341,,
random_fire,0,length_plus_core,mean_minimum_temperature_c,10.107818678,7.37918853153,7341,,
random_fire,0,length_plus_core,mean_vpd_kpa,1.34920990445,0.747472219115,7341,,
random_fire,0,length_plus_core,mean_wind_speed_m_s,3.93473817788,1.2779223975,7341,,
random_fire,0,length_plus_core_max,log_duration,1.6125086281,0.313977126184,7341,,
random_fire,0,length_plus_core_max,log_observations,1.6125086281,0.313977126184,7341,,
random_fire,0,length_plus_core_max,mean_maximum_temperature_c,25.5634605403,7.32247685253,7341,,
random_fire,0,length_plus_core_max,mean_minimum_temperature_c,10.107818678,7.37918853153,7341,,
random_fire,0,length_plus_core_max,mean_vpd_kpa,1.34920990445,0.747472219115,7341,,
random_fire,0,length_plus_core_max,mean_wind_speed_m_s,3.93473817788,1.2779223975,7341,,
random_fire,0,length_plus_core_max,max_vpd,1.6387971666,0.856072873898,7341,,
random_fire,0,core_quantile_exceedance,mean_maximum_temperature_c,25.5634605403,7.32247685253,7341,,
random_fire,0,core_quantile_exceedance,mean_minimum_temperature_c,10.107818678,7.37918853153,7341,,
random_fire,0,core_quantile_exceedance,mean_vpd_kpa,1.34920990445,0.747472219115,7341,,
random_fire,0,core_quantile_exceedance,mean_wind_speed_m_s,3.93473817788,1.2779223975,7341,,
random_fire,0,core_quantile_exceedance,q90_vpd,1.57632938292,0.828274285979,7341,,
random_fire,0,core_quantile_exceedance,vpd_gt_2_fraction,0.186792609121,0.340113666888,7341,,
random_fire,0,core_quantile_exceedance,wet_fraction,0.154301606253,0.229540341879,7341,,
random_fire,1,outcome_pca,allocation_00,0.046466259381,0.0338605215435,7357,-0.198456357386,0.346630435647
random_fire,1,outcome_pca,allocation_01,0.0467524255304,0.0337842878639,7357,-0.201969883811,0.346630435647
random_fire,1,outcome_pca,allocation_02,0.0483507424476,0.0346757263793,7357,-0.219809477293,0.346630435647
random_fire,1,outcome_pca,allocation_03,0.0513658665391,0.0372232678077,7357,-0.242234513631,0.346630435647
random_fire,1,outcome_pca,allocation_04,0.0553694260443,0.0411841170932,7357,-0.250153052272,0.346630435647
random_fire,1,outcome_pca,allocation_05,0.0594271698465,0.041860184107,7357,-0.242158359041,0.346630435647
random_fire,1,outcome_pca,allocation_06,0.0599100081254,0.0367913622789,7357,-0.223043215389,0.346630435647
random_fire,1,outcome_pca,allocation_07,0.0602309918339,0.0404072172266,7357,-0.115230300596,0.346630435647
random_fire,1,outcome_pca,allocation_08,0.0595627527959,0.0391303690787,7357,-0.0661146493411,0.346630435647
random_fire,1,outcome_pca,allocation_09,0.0593076027082,0.0401191595063,7357,-0.0516937847407,0.346630435647
random_fire,1,outcome_pca,allocation_10,0.0545269026783,0.0365548149458,7357,0.0667227135837,0.346630435647
random_fire,1,outcome_pca,allocation_11,0.0537948195324,0.0349238533883,7357,0.082959382507,0.346630435647
random_fire,1,outcome_pca,allocation_12,0.0513459025221,0.0335556969401,7357,0.126393765306,0.346630435647
random_fire,1,outcome_pca,allocation_13,0.048195570557,0.027956298286,7357,0.257118246569,0.346630435647
random_fire,1,outcome_pca,allocation_14,0.0459666017456,0.0309877667639,7357,0.276932630524,0.346630435647
random_fire,1,outcome_pca,allocation_15,0.0424097001848,0.029730733877,7357,0.298406814514,0.346630435647
random_fire,1,outcome_pca,allocation_16,0.0402878618424,0.0280969529422,7357,0.305560805853,0.346630435647
random_fire,1,outcome_pca,allocation_17,0.0392484693896,0.0280242703087,7357,0.302433505297,0.346630435647
random_fire,1,outcome_pca,allocation_18,0.0387657472602,0.0282717724116,7357,0.298256661328,0.346630435647
random_fire,1,outcome_pca,allocation_19,0.0387151790354,0.0283299400753,7357,0.297648163576,0.346630435647
random_fire,1,core_means,mean_maximum_temperature_c,25.6118813096,7.39522091012,7357,,
random_fire,1,core_means,mean_minimum_temperature_c,10.1431777124,7.44269226699,7357,,
random_fire,1,core_means,mean_vpd_kpa,1.3492968843,0.746428086545,7357,,
random_fire,1,core_means,mean_wind_speed_m_s,3.93025092718,1.26341820546,7357,,
random_fire,1,max_vpd_only,max_vpd,1.63676634498,0.852752379703,7357,,
random_fire,1,core_plus_max,mean_maximum_temperature_c,25.6118813096,7.39522091012,7357,,
random_fire,1,core_plus_max,mean_minimum_temperature_c,10.1431777124,7.44269226699,7357,,
random_fire,1,core_plus_max,mean_vpd_kpa,1.3492968843,0.746428086545,7357,,
random_fire,1,core_plus_max,mean_wind_speed_m_s,3.93025092718,1.26341820546,7357,,
random_fire,1,core_plus_max,max_vpd,1.63676634498,0.852752379703,7357,,
random_fire,1,comprehensive_means,mean_maximum_temperature_c,25.6118813096,7.39522091012,7357,,
random_fire,1,comprehensive_means,mean_minimum_temperature_c,10.1431777124,7.44269226699,7357,,
random_fire,1,comprehensive_means,mean_vpd_kpa,1.3492968843,0.746428086545,7357,,
random_fire,1,comprehensive_means,mean_wind_speed_m_s,3.93025092718,1.26341820546,7357,,
random_fire,1,comprehensive_means,mean_precipitation_mm,0.73906782661,2.04492105526,7357,,
random_fire,1,comprehensive_means,mean_maximum_relative_humidity_pct,77.2338415507,18.6144625578,7357,,
random_fire,1,comprehensive_means,mean_minimum_relative_humidity_pct,29.3381046221,12.4015705276,7357,,
random_fire,1,comprehensive_means,mean_specific_humidity_kg_kg,0.007383267744,0.00392703701715,7357,,
random_fire,1,comprehensive_means,mean_fuel_moisture_100hr_pct,12.2643743118,4.01501453051,7357,,
random_fire,1,comprehensive_means,mean_fuel_moisture_1000hr_pct,14.549398095,4.51751131602,7357,,
random_fire,1,comprehensive_means,mean_energy_release_component,44.5339689862,21.0196589965,7357,,
random_fire,1,comprehensive_means,mean_burning_index,36.9252234108,18.5365068774,7357,,
random_fire,1,comprehensive_means,mean_reference_evapotranspiration_mm,6.74230232979,2.57672823343,7357,,
random_fire,1,comprehensive_means,mean_potential_evapotranspiration_mm,4.88691498708,1.87512992042,7357,,
random_fire,1,comprehensive_means,mean_solar_radiation_w_m2,237.044041522,64.5859960813,7357,,
random_fire,1,comprehensive_plus_max,mean_maximum_temperature_c,25.6118813096,7.39522091012,7357,,
random_fire,1,comprehensive_plus_max,mean_minimum_temperature_c,10.1431777124,7.44269226699,7357,,
random_fire,1,comprehensive_plus_max,mean_vpd_kpa,1.3492968843,0.746428086545,7357,,
random_fire,1,comprehensive_plus_max,mean_wind_speed_m_s,3.93025092718,1.26341820546,7357,,
random_fire,1,comprehensive_plus_max,mean_precipitation_mm,0.73906782661,2.04492105526,7357,,
random_fire,1,comprehensive_plus_max,mean_maximum_relative_humidity_pct,77.2338415507,18.6144625578,7357,,
random_fire,1,comprehensive_plus_max,mean_minimum_relative_humidity_pct,29.3381046221,12.4015705276,7357,,
random_fire,1,comprehensive_plus_max,mean_specific_humidity_kg_kg,0.007383267744,0.00392703701715,7357,,
random_fire,1,comprehensive_plus_max,mean_fuel_moisture_100hr_pct,12.2643743118,4.01501453051,7357,,
random_fire,1,comprehensive_plus_max,mean_fuel_moisture_1000hr_pct,14.549398095,4.51751131602,7357,,
random_fire,1,comprehensive_plus_max,mean_energy_release_component,44.5339689862,21.0196589965,7357,,
random_fire,1,comprehensive_plus_max,mean_burning_index,36.9252234108,18.5365068774,7357,,
random_fire,1,comprehensive_plus_max,mean_reference_evapotranspiration_mm,6.74230232979,2.57672823343,7357,,
random_fire,1,comprehensive_plus_max,mean_potential_evapotranspiration_mm,4.88691498708,1.87512992042,7357,,
random_fire,1,comprehensive_plus_max,mean_solar_radiation_w_m2,237.044041522,64.5859960813,7357,,
random_fire,1,comprehensive_plus_max,max_vpd,1.63676634498,0.852752379703,7357,,
random_fire,1,length_only,log_duration,1.61448010836,0.312775641212,7357,,
random_fire,1,length_only,log_observations,1.61448010836,0.312775641212,7357,,
random_fire,1,length_plus_max,log_duration,1.61448010836,0.312775641212,7357,,
random_fire,1,length_plus_max,log_observations,1.61448010836,0.312775641212,7357,,
random_fire,1,length_plus_max,max_vpd,1.63676634498,0.852752379703,7357,,
random_fire,1,length_plus_core,log_duration,1.61448010836,0.312775641212,7357,,
random_fire,1,length_plus_core,log_observations,1.61448010836,0.312775641212,7357,,
random_fire,1,length_plus_core,mean_maximum_temperature_c,25.6118813096,7.39522091012,7357,,
random_fire,1,length_plus_core,mean_minimum_temperature_c,10.1431777124,7.44269226699,7357,,
random_fire,1,length_plus_core,mean_vpd_kpa,1.3492968843,0.746428086545,7357,,
random_fire,1,length_plus_core,mean_wind_speed_m_s,3.93025092718,1.26341820546,7357,,
random_fire,1,length_plus_core_max,log_duration,1.61448010836,0.312775641212,7357,,
random_fire,1,length_plus_core_max,log_observations,1.61448010836,0.312775641212,7357,,
random_fire,1,length_plus_core_max,mean_maximum_temperature_c,25.6118813096,7.39522091012,7357,,
random_fire,1,length_plus_core_max,mean_minimum_temperature_c,10.1431777124,7.44269226699,7357,,
random_fire,1,length_plus_core_max,mean_vpd_kpa,1.3492968843,0.746428086545,7357,,
random_fire,1,length_plus_core_max,mean_wind_speed_m_s,3.93025092718,1.26341820546,7357,,
random_fire,1,length_plus_core_max,max_vpd,1.63676634498,0.852752379703,7357,,
random_fire,1,core_quantile_exceedance,mean_maximum_temperature_c,25.6118813096,7.39522091012,7357,,
random_fire,1,core_quantile_exceedance,mean_minimum_temperature_c,10.1431777124,7.44269226699,7357,,
random_fire,1,core_quantile_exceedance,mean_vpd_kpa,1.3492968843,0.746428086545,7357,,
random_fire,1,core_quantile_exceedance,mean_wind_speed_m_s,3.93025092718,1.26341820546,7357,,
random_fire,1,core_quantile_exceedance,q90_vpd,1.57478306375,0.825242190059,7357,,
random_fire,1,core_quantile_exceedance,vpd_gt_2_fraction,0.186614604413,0.340265735059,7357,,
