kind,fold,alpha,predictor_set,response,n,train_n,r2,status,cohort_hash
random_fire,4,0.01,state_weather_interactions,next_growth_log1p,16943,71001,0.488546636903,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,0,1,mean_only,next_growth_log1p,17905,70039,-0.000142714579554,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,0,1,persistence,next_growth_log1p,17905,70039,0.302887895639,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,0,1,autoregressive,next_growth_log1p,17905,70039,0.459820623987,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,0,1,weather_only,next_growth_log1p,17905,70039,0.0842304630449,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,0,1,state_plus_weather,next_growth_log1p,17905,70039,0.465310442006,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,0,1,state_weather_interactions,next_growth_log1p,17905,70039,0.476511451634,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,1,1,mean_only,next_growth_log1p,18319,69625,-0.00162555483942,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,1,1,persistence,next_growth_log1p,18319,69625,0.33010409185,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,1,1,autoregressive,next_growth_log1p,18319,69625,0.473068568997,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,1,1,weather_only,next_growth_log1p,18319,69625,0.0826039253833,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,1,1,state_plus_weather,next_growth_log1p,18319,69625,0.477892655694,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,1,1,state_weather_interactions,next_growth_log1p,18319,69625,0.487635752886,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,2,1,mean_only,next_growth_log1p,17547,70397,-0.00277101944776,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,2,1,persistence,next_growth_log1p,17547,70397,0.224749937894,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,2,1,autoregressive,next_growth_log1p,17547,70397,0.410372661643,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,2,1,weather_only,next_growth_log1p,17547,70397,0.0767115771762,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,2,1,state_plus_weather,next_growth_log1p,17547,70397,0.417130753025,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,2,1,state_weather_interactions,next_growth_log1p,17547,70397,0.428890861432,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,3,1,mean_only,next_growth_log1p,17230,70714,-5.75134388758e-06,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,3,1,persistence,next_growth_log1p,17230,70714,0.315482823868,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,3,1,autoregressive,next_growth_log1p,17230,70714,0.46625009654,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,3,1,weather_only,next_growth_log1p,17230,70714,0.0824002554031,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,3,1,state_plus_weather,next_growth_log1p,17230,70714,0.471230171062,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,3,1,state_weather_interactions,next_growth_log1p,17230,70714,0.477549648418,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,4,1,mean_only,next_growth_log1p,16943,71001,-8.22706834029e-05,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,4,1,persistence,next_growth_log1p,16943,71001,0.314431267072,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,4,1,autoregressive,next_growth_log1p,16943,71001,0.473053090872,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,4,1,weather_only,next_growth_log1p,16943,71001,0.086532781603,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,4,1,state_plus_weather,next_growth_log1p,16943,71001,0.478196058861,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,4,1,state_weather_interactions,next_growth_log1p,16943,71001,0.488549417521,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,0,100,mean_only,next_growth_log1p,17905,70039,-0.000142714579554,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,0,100,persistence,next_growth_log1p,17905,70039,0.302887895639,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,0,100,autoregressive,next_growth_log1p,17905,70039,0.459815801426,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,0,100,weather_only,next_growth_log1p,17905,70039,0.0842605316046,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,0,100,state_plus_weather,next_growth_log1p,17905,70039,0.465312712851,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,0,100,state_weather_interactions,next_growth_log1p,17905,70039,0.476465055444,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,1,100,mean_only,next_growth_log1p,18319,69625,-0.00162555483942,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,1,100,persistence,next_growth_log1p,18319,69625,0.33010409185,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,1,100,autoregressive,next_growth_log1p,18319,69625,0.473043829072,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,1,100,weather_only,next_growth_log1p,18319,69625,0.0825546123516,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,1,100,state_plus_weather,next_growth_log1p,18319,69625,0.477871720934,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,1,100,state_weather_interactions,next_growth_log1p,18319,69625,0.487428884114,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,2,100,mean_only,next_growth_log1p,17547,70397,-0.00277101944776,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,2,100,persistence,next_growth_log1p,17547,70397,0.224749937894,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,2,100,autoregressive,next_growth_log1p,17547,70397,0.410410424496,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,2,100,weather_only,next_growth_log1p,17547,70397,0.0768027385953,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,2,100,state_plus_weather,next_growth_log1p,17547,70397,0.417157589595,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,2,100,state_weather_interactions,next_growth_log1p,17547,70397,0.428550132646,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,3,100,mean_only,next_growth_log1p,17230,70714,-5.75134388758e-06,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,3,100,persistence,next_growth_log1p,17230,70714,0.315482823868,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,3,100,autoregressive,next_growth_log1p,17230,70714,0.466229892065,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,3,100,weather_only,next_growth_log1p,17230,70714,0.0824782392443,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,3,100,state_plus_weather,next_growth_log1p,17230,70714,0.471220593549,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,3,100,state_weather_interactions,next_growth_log1p,17230,70714,0.477897821012,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,4,100,mean_only,next_growth_log1p,16943,71001,-8.22706834029e-05,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,4,100,persistence,next_growth_log1p,16943,71001,0.314431267072,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,4,100,autoregressive,next_growth_log1p,16943,71001,0.473069188148,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,4,100,weather_only,next_growth_log1p,16943,71001,0.0863966832859,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,4,100,state_plus_weather,next_growth_log1p,16943,71001,0.478197507116,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
random_fire,4,100,state_weather_interactions,next_growth_log1p,16943,71001,0.48853474006,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
year_block,0,0.01,mean_only,next_growth_log1p,13157,74787,-0.00842114026637,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
year_block,0,0.01,persistence,next_growth_log1p,13157,74787,0.293242457632,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
year_block,0,0.01,autoregressive,next_growth_log1p,13157,74787,0.45067297018,evaluated,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff
