kind,predictor_set,stratum,value,n,r2,delta_r2,resampling,groups,r2_low,r2_high,delta_low,delta_high
random_fire,persistence,size_class,"(0.0, 1.0]",1947,-1.52534641908,5.85053357264,fire_id,1838,-1.72252531205,-1.34654326612,5.21839734379,6.57671032892
random_fire,persistence,size_class,"(1.0, 10.0]",46640,-0.813911916196,-0.559636987181,fire_id,23072,-0.839271039037,-0.781006552177,-0.572998570207,-0.542154080174
random_fire,persistence,size_class,"(10.0, 100.0]",31106,-0.292968177915,-0.370673294853,fire_id,6160,-0.31930803306,-0.267972231173,-0.38408635642,-0.355749529546
random_fire,persistence,size_class,"(100.0, 1000.0]",7652,0.269968703857,-0.035184212279,fire_id,599,0.220138611126,0.310244247738,-0.0557477037773,-0.0152628988742
random_fire,persistence,size_class,"(1000.0, inf]",599,0.582186613426,0.202679219849,fire_id,31,0.463020719583,0.655328226887,0.140295096904,0.276496398447
random_fire,persistence,observation_quality,consecutive_history,21677,0.304784119131,-0.160080249176,fire_id,9212,0.247772463109,0.3542894441,-0.185124004877,-0.138672418309
random_fire,persistence,observation_quality,history_has_gaps,66267,0.298866227177,-0.156819785381,fire_id,22488,0.259612227123,0.334527634767,-0.172417638218,-0.143061600249
random_fire,state_plus_weather,region,central,24323,0.163364207892,0.00262667446215,fire_id,10105,0.132944620339,0.190848475899,0.000436880898893,0.0046588763559
random_fire,state_plus_weather,region,east,17224,0.320729220821,0.00809576385003,fire_id,6575,0.239678716107,0.419877034627,0.00294741910271,0.0132340428191
random_fire,state_plus_weather,region,intermountain,23399,0.404833035484,0.00424169106307,fire_id,8866,0.375530510047,0.432331145188,0.00249007295352,0.0058379093341
random_fire,state_plus_weather,region,west,22998,0.511205455642,0.00743968843389,fire_id,6154,0.489156604418,0.536666621351,0.00606030650655,0.00899229012087
random_fire,state_plus_weather,season,DJF,12759,0.155652238128,0.00979703735513,fire_id,5237,0.0908523516938,0.239091536557,0.00646136099173,0.0126542211452
random_fire,state_plus_weather,season,JJA,29913,0.516068017327,0.00499134049371,fire_id,8208,0.490761195438,0.534583110059,0.00373641663301,0.00665346383762
random_fire,state_plus_weather,season,MAM,20363,0.358468086443,0.00492321370633,fire_id,8398,0.317367159003,0.390772348631,0.00320967605203,0.00729760938801
random_fire,state_plus_weather,season,SON,24909,0.384985477508,0.00753969793368,fire_id,9857,0.343278458623,0.42598730402,0.005608937634,0.00952530998338
random_fire,state_plus_weather,size_class,"(0.0, 1.0]",1947,-8.91481866576,-1.53893867405,fire_id,1838,-10.0138464862,-8.00993778593,-2.04739434683,-1.14762935208
random_fire,state_plus_weather,size_class,"(1.0, 10.0]",46640,-0.266499538279,-0.0122246092638,fire_id,23072,-0.281797701368,-0.248368452852,-0.0152951086883,-0.0089458870775
random_fire,state_plus_weather,size_class,"(10.0, 100.0]",31106,0.0887500227933,0.0110449058547,fire_id,6160,0.0741463458659,0.104769744491,0.00953182284042,0.0128465645691
random_fire,state_plus_weather,size_class,"(100.0, 1000.0]",7652,0.319504183149,0.0143512670124,fire_id,599,0.286968236002,0.343280743609,0.0114158296803,0.0170918935842
random_fire,state_plus_weather,size_class,"(1000.0, inf]",599,0.392798464075,0.0132910704986,fire_id,31,0.256940877418,0.463104597045,0.00190222360321,0.0259529977951
random_fire,state_plus_weather,observation_quality,consecutive_history,21677,0.47107351109,0.00620914278247,fire_id,9212,0.438619559478,0.500692699784,0.00451404621029,0.00778408374168
random_fire,state_plus_weather,observation_quality,history_has_gaps,66267,0.460734016616,0.00504800405762,fire_id,22488,0.437621336108,0.483855162334,0.00410776599069,0.00610916687902
random_fire,state_weather_interactions,region,central,24323,0.185975962629,0.0252384291987,fire_id,10105,0.157323409638,0.211935236075,0.0208125293175,0.0315298972559
random_fire,state_weather_interactions,region,east,17224,0.335149397462,0.0225159404912,fire_id,6575,0.260452470723,0.426123391814,0.00794223661832,0.0355085301432
random_fire,state_weather_interactions,region,intermountain,23399,0.414080318925,0.0134889745037,fire_id,8866,0.384495732617,0.442921660418,0.00926991380304,0.0175416947883
random_fire,state_weather_interactions,region,west,22998,0.519244107414,0.015478340206,fire_id,6154,0.495688936964,0.545045136,0.0117308704763,0.0195194441167
random_fire,state_weather_interactions,season,DJF,12759,0.187588272476,0.0417330717033,fire_id,5237,0.126618094302,0.26767106595,0.0345428308324,0.0476127416339
random_fire,state_weather_interactions,season,JJA,29913,0.523151127026,0.0120744501933,fire_id,8208,0.496052462484,0.54320883464,0.00830870991143,0.0161784906132
