i,j,fire_id_a,fire_id_b,match_distance,caliper,k,metric,log_area_distance,weather_distance,morphology_distance,matching_space,duration_days_a,duration_days_b,observation_count_a,observation_count_b,catalog_area_km2_a,catalog_area_km2_b,region_a,region_b,season_a,season_b,start_date_a,start_date_b,end_date_a,end_date_b,mean_maximum_temperature_c_a,mean_maximum_temperature_c_b,mean_minimum_temperature_c_a,mean_minimum_temperature_c_b,mean_vpd_kpa_a,mean_vpd_kpa_b,mean_wind_speed_m_s_a,mean_wind_speed_m_s_b
4075,7920,261992,435412,0.294543123341,0.5,10,euclidean,0.69314718056,0.294543123341,0.955676448596,weather,4,4,4,4,2.14658673297,1.07329336648,central,central,SON,SON,2012-10-24,2020-11-08,2012-10-27,2020-11-11,24.975,23.775,10.675,12.375,0.825,0.6375,4.575,4
5085,8635,319750,6645,0.294743170982,0.5,10,euclidean,0.202236866495,0.294743170982,1.53715893412,weather,3,3,3,3,12.4502030512,15.2407658041,intermountain,intermountain,JJA,JJA,2015-07-14,2001-07-30,2015-07-16,2001-08-01,30.4166666667,30.5166666667,10.85,8.15,1.78,1.54666666667,2.8,3.23333333333
3724,7051,250782,401358,0.295188513567,0.5,10,euclidean,0.194156014441,0.295188513567,2.01047054854,weather,3,3,3,3,3.64919744605,3.00522142616,east,east,MAM,MAM,2012-04-14,2019-04-25,2012-04-16,2019-04-27,25.2833333333,28.5166666667,9.11666666667,11.7833333333,1.32,1.20666666667,4.93333333333,4.96666666667
1622,7103,166679,403812,0.295384159314,0.5,10,euclidean,0.251314428281,0.295384159314,1.80348353127,weather,6,6,6,6,3.86385611934,3.00522142616,intermountain,intermountain,JJA,JJA,2008-06-24,2019-06-10,2008-06-29,2019-06-15,34.5166666667,32,19.4,16.25,2.845,2.68666666667,3.86666666667,3.95
3518,3521,241627,241654,0.295387447718,0.5,10,euclidean,0.578393532255,0.295387447718,0.315715179432,weather,4,4,4,4,118.276928987,66.3295300487,west,west,SON,SON,2011-10-01,2011-10-01,2011-10-04,2011-10-04,23.25,23.075,11.575,10.475,1.4,1.37,3.725,3
8093,8097,441460,441540,0.295406341221,0.5,10,euclidean,0.553385238185,0.295406341221,1.0519227822,weather,8,8,8,8,34.3453877275,19.7485979433,intermountain,intermountain,MAM,MAM,2021-03-28,2021-03-28,2021-04-04,2021-04-04,20.7,18.3625,4.7,2.8375,0.955,0.81125,4.9,5.3875
4200,6526,269790,380944,0.295605695087,0.5,10,euclidean,0.405465108108,0.295605695087,0.498877465867,weather,4,4,4,4,0.858634693187,1.28795203978,east,east,MAM,MAM,2013-04-08,2018-03-20,2013-04-11,2018-03-23,28.45,25.025,13.425,11.05,1.0475,1.09,4.2,4.4
548,6241,123596,370108,0.295700348511,0.5,10,euclidean,0.471840177053,0.295700348511,2.1272039019,weather,6,6,6,6,14.5967897842,23.3977953894,intermountain,intermountain,JJA,JJA,2006-06-11,2017-08-30,2006-06-16,2017-09-04,30.2166666667,30.9,10.3,11.9833333333,2.42166666667,2.19666666667,5.13333333333,4.56666666667
594,2554,125015,208833,0.295765728389,0.5,10,euclidean,0.287682072452,0.295765728389,0.47515790269,weather,3,3,3,3,0.858634693187,0.643976019891,intermountain,intermountain,JJA,JJA,2006-07-11,2010-06-13,2006-07-13,2010-06-15,40.4166666667,36.1166666667,20.6166666667,20.2833333333,3.59333333333,3.55,2,2.03333333333
2059,2090,185346,186752,0.295988515723,0.5,10,euclidean,0.405465108108,0.295988515723,0.827755529386,weather,4,4,4,4,1.28795203978,0.858634693187,intermountain,intermountain,MAM,MAM,2009-04-16,2009-05-04,2009-04-19,2009-05-07,19.9,20.875,7.775,4.275,0.7475,0.9325,4.8,5.075
3266,7219,235026,410416,0.296072292534,0.5,10,euclidean,0.69314718056,0.296072292534,0.452947159675,weather,3,3,3,3,1.71726938637,0.858634693187,intermountain,intermountain,JJA,JJA,2011-06-09,2019-08-14,2011-06-11,2019-08-16,31.2833333333,31.65,6.68333333333,9.28333333333,2.02666666667,2.14666666667,3.33333333333,2.76666666667
2540,4371,20806,279018,0.29656924634,0.5,10,euclidean,0.251314428281,0.29656924634,0.969686295456,weather,4,4,4,4,1.50261071308,1.93192805967,intermountain,intermountain,JJA,JJA,2002-07-08,2013-08-28,2002-07-11,2013-08-31,36.35,38.05,23.175,21.2,2.2875,2.6175,4.1,3.875
4793,8902,298703,84994,0.296674478183,0.5,10,euclidean,0.587786664902,0.296674478183,1.37174721109,weather,4,4,4,4,1.93192805967,1.07329336648,central,central,SON,SON,2014-09-07,2004-10-23,2014-09-10,2004-10-26,32.4,30.7,23.975,20.875,1.07,0.865,2.175,1.9
