fire_id,timestamp,_merge,in_event_catalog,reason
153636,2007-11-05,left_only,False,daily_id_absent_from_event_catalog
153636,2007-11-06,left_only,False,daily_id_absent_from_event_catalog
153636,2007-11-11,left_only,False,daily_id_absent_from_event_catalog
154537,2007-12-07,left_only,False,daily_id_absent_from_event_catalog
155229,2008-01-04,left_only,False,daily_id_absent_from_event_catalog
155229,2008-01-05,left_only,False,daily_id_absent_from_event_catalog
155229,2008-01-06,left_only,False,daily_id_absent_from_event_catalog
155229,2008-01-07,left_only,False,daily_id_absent_from_event_catalog
155229,2008-01-08,left_only,False,daily_id_absent_from_event_catalog
156022,2008-02-03,left_only,False,daily_id_absent_from_event_catalog
156022,2008-02-05,left_only,False,daily_id_absent_from_event_catalog
156669,2008-02-21,left_only,False,daily_id_absent_from_event_catalog
156819,2008-02-21,left_only,False,daily_id_absent_from_event_catalog
157073,2008-02-28,left_only,False,daily_id_absent_from_event_catalog
157073,2008-03-02,left_only,False,daily_id_absent_from_event_catalog
157073,2008-03-03,left_only,False,daily_id_absent_from_event_catalog
157073,2008-03-05,left_only,False,daily_id_absent_from_event_catalog
157073,2008-03-06,left_only,False,daily_id_absent_from_event_catalog
157073,2008-03-07,left_only,False,daily_id_absent_from_event_catalog
157073,2008-03-08,left_only,False,daily_id_absent_from_event_catalog
157073,2008-03-09,left_only,False,daily_id_absent_from_event_catalog
157073,2008-03-14,left_only,False,daily_id_absent_from_event_catalog
157652,2008-03-13,left_only,False,daily_id_absent_from_event_catalog
157652,2008-03-15,left_only,False,daily_id_absent_from_event_catalog
157652,2008-03-16,left_only,False,daily_id_absent_from_event_catalog
157818,2008-03-08,left_only,False,daily_id_absent_from_event_catalog
157818,2008-03-11,left_only,False,daily_id_absent_from_event_catalog
158005,2008-03-10,left_only,False,daily_id_absent_from_event_catalog
158005,2008-03-14,left_only,False,daily_id_absent_from_event_catalog
158133,2008-03-12,left_only,False,daily_id_absent_from_event_catalog
158133,2008-03-22,left_only,False,daily_id_absent_from_event_catalog
158133,2008-03-24,left_only,False,daily_id_absent_from_event_catalog
158265,2008-03-13,left_only,False,daily_id_absent_from_event_catalog
158463,2008-03-14,left_only,False,daily_id_absent_from_event_catalog
158463,2008-03-16,left_only,False,daily_id_absent_from_event_catalog
158463,2008-03-17,left_only,False,daily_id_absent_from_event_catalog
158463,2008-03-18,left_only,False,daily_id_absent_from_event_catalog
158463,2008-03-19,left_only,False,daily_id_absent_from_event_catalog
158463,2008-03-22,left_only,False,daily_id_absent_from_event_catalog
158463,2008-03-23,left_only,False,daily_id_absent_from_event_catalog
159666,2008-04-02,left_only,False,daily_id_absent_from_event_catalog
161524,2008-04-24,left_only,False,daily_id_absent_from_event_catalog
162279,2008-05-03,left_only,False,daily_id_absent_from_event_catalog
162279,2008-05-06,left_only,False,daily_id_absent_from_event_catalog
162279,2008-05-07,left_only,False,daily_id_absent_from_event_catalog
163504,2008-05-08,left_only,False,daily_id_absent_from_event_catalog
163504,2008-05-11,left_only,False,daily_id_absent_from_event_catalog
163504,2008-05-14,left_only,False,daily_id_absent_from_event_catalog
163504,2008-05-17,left_only,False,daily_id_absent_from_event_catalog
166473,2008-06-20,left_only,False,daily_id_absent_from_event_catalog
166473,2008-06-22,left_only,False,daily_id_absent_from_event_catalog
166473,2008-06-23,left_only,False,daily_id_absent_from_event_catalog
166473,2008-06-24,left_only,False,daily_id_absent_from_event_catalog
166473,2008-06-25,left_only,False,daily_id_absent_from_event_catalog
166473,2008-06-26,left_only,False,daily_id_absent_from_event_catalog
166473,2008-06-27,left_only,False,daily_id_absent_from_event_catalog
166473,2008-06-28,left_only,False,daily_id_absent_from_event_catalog
166473,2008-06-29,left_only,False,daily_id_absent_from_event_catalog
166473,2008-06-30,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-01,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-02,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-03,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-04,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-05,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-06,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-07,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-08,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-12,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-13,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-14,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-15,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-16,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-17,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-18,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-19,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-20,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-21,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-22,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-23,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-24,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-25,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-26,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-27,left_only,False,daily_id_absent_from_event_catalog
166473,2008-07-28,left_only,False,daily_id_absent_from_event_catalog
