kind,alpha,predictor_set,response,n,cohort_n,cohort_hash,r2,reference,delta_r2,status,stratum_variable,stratum_value
region_block,1,max_vpd_only,normalized_first_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.013574923197,mean_only,0.00137796981155,evaluated,duration_days,3
region_block,1,max_vpd_only,normalized_second_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.013574923197,mean_only,0.00137796981155,evaluated,duration_days,3
region_block,1,core_plus_max,front_loaded_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.00129511060197,mean_only,0.00334626242169,evaluated,duration_days,3
region_block,1,core_plus_max,late_growth_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.00279402357952,mean_only,0.00635905461823,evaluated,duration_days,3
region_block,1,core_plus_max,peak_timing,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00315769479932,mean_only,-0.0015817875455,evaluated,duration_days,3
region_block,1,core_plus_max,terminal_taper_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0179562233295,mean_only,0.0289409392688,evaluated,duration_days,3
region_block,1,core_plus_max,normalized_entropy,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0346729918327,mean_only,0.0477763975605,evaluated,duration_days,3
region_block,1,core_plus_max,pulse_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0011512743919,mean_only,0.00211000604625,evaluated,duration_days,3
region_block,1,core_plus_max,reactivation_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,,mean_only,,evaluated,duration_days,3
region_block,1,core_plus_max,normalized_first_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0249194446418,mean_only,0.0398723376503,evaluated,duration_days,3
region_block,1,core_plus_max,normalized_second_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0249194446418,mean_only,0.0398723376503,evaluated,duration_days,3
region_block,1,comprehensive_means,front_loaded_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00573422020131,mean_only,-0.0036830683816,evaluated,duration_days,3
region_block,1,comprehensive_means,late_growth_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00902749961601,mean_only,-0.0054624685773,evaluated,duration_days,3
region_block,1,comprehensive_means,peak_timing,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00351509499704,mean_only,-0.00193918774321,evaluated,duration_days,3
region_block,1,comprehensive_means,terminal_taper_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.00834106325356,mean_only,0.0193257791929,evaluated,duration_days,3
region_block,1,comprehensive_means,normalized_entropy,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0392231474834,mean_only,0.0523265532111,evaluated,duration_days,3
region_block,1,comprehensive_means,pulse_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00229787552692,mean_only,-0.00133914387257,evaluated,duration_days,3
region_block,1,comprehensive_means,reactivation_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,,mean_only,,evaluated,duration_days,3
region_block,1,comprehensive_means,normalized_first_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0274520800296,mean_only,0.0424049730382,evaluated,duration_days,3
region_block,1,comprehensive_means,normalized_second_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0274520800296,mean_only,0.0424049730382,evaluated,duration_days,3
region_block,1,comprehensive_plus_max,front_loaded_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00624873783649,mean_only,-0.00419758601678,evaluated,duration_days,3
region_block,1,comprehensive_plus_max,late_growth_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00850529845118,mean_only,-0.00494026741247,evaluated,duration_days,3
region_block,1,comprehensive_plus_max,peak_timing,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00460030956162,mean_only,-0.0030244023078,evaluated,duration_days,3
region_block,1,comprehensive_plus_max,terminal_taper_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.00994643202847,mean_only,0.0209311479678,evaluated,duration_days,3
region_block,1,comprehensive_plus_max,normalized_entropy,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0400145135302,mean_only,0.053117919258,evaluated,duration_days,3
region_block,1,comprehensive_plus_max,pulse_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00165598521186,mean_only,-0.000697253557516,evaluated,duration_days,3
region_block,1,comprehensive_plus_max,reactivation_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,,mean_only,,evaluated,duration_days,3
region_block,1,comprehensive_plus_max,normalized_first_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.0281777990213,mean_only,0.0431306920298,evaluated,duration_days,3
