matching_space,rep,median_mismatch,mismatch_gt1_fraction,n_pairs
weather,0,1.0088654058,0.503504043127,3710
weather,1,1.04176565823,0.520754716981,3710
weather,2,0.999271634006,0.499191374663,3710
weather,3,1.02064594719,0.511051212938,3710
weather,4,1.00839359341,0.504582210243,3710
weather,5,1.01255353892,0.50539083558,3710
weather,6,0.999190930149,0.499730458221,3710
weather,7,1.00810693728,0.504312668464,3710
weather,8,1.01446240088,0.506199460916,3710
weather,9,1.0188649086,0.510781671159,3710
weather,10,1.00891220342,0.504582210243,3710
weather,11,0.99756073301,0.496495956873,3710
weather,12,1.00374514538,0.502425876011,3710
weather,13,1.04084592292,0.518059299191,3710
weather,14,1.0170420845,0.506738544474,3710
weather,15,0.99087305234,0.496495956873,3710
weather,16,0.990316575424,0.492991913747,3710
weather,17,1.01653361668,0.509433962264,3710
weather,18,1.02056626019,0.511051212938,3710
weather,19,1.01899224469,0.509164420485,3710
weather,20,0.99756073301,0.496226415094,3710
weather,21,0.998015033503,0.498921832884,3710
weather,22,0.99756073301,0.498652291105,3710
weather,23,1.0147064013,0.506199460916,3710
weather,24,1.00787701151,0.503773584906,3710
weather,25,1.01929599112,0.509433962264,3710
weather,26,1.01384950155,0.504851752022,3710
weather,27,1.02102665737,0.509433962264,3710
weather,28,0.990316575424,0.492722371968,3710
weather,29,1.02112632375,0.511051212938,3710
weather,30,0.992734383261,0.494070080863,3710
weather,31,1.01330504313,0.505929919137,3710
weather,32,1.00431556949,0.501347708895,3710
weather,33,1.01316852151,0.507277628032,3710
weather,34,1.00105092528,0.500808625337,3710
weather,35,0.990585236313,0.49218328841,3710
weather,36,1.02240122207,0.511051212938,3710
weather,37,0.990608512039,0.492991913747,3710
weather,38,1.00902943509,0.504043126685,3710
weather,39,1.00085013852,0.501078167116,3710
weather,40,0.998167436403,0.498652291105,3710
weather,41,1.01358370011,0.506469002695,3710
weather,42,1.0123596772,0.505660377358,3710
weather,43,0.99756073301,0.497843665768,3710
weather,44,1.0189647238,0.509433962264,3710
weather,45,1.0135622724,0.505929919137,3710
weather,46,1.00078627726,0.500808625337,3710
weather,47,1.01244070111,0.505929919137,3710
weather,48,0.995346571733,0.495687331536,3710
weather,49,1.01340760521,0.504582210243,3710
weather,50,1.02237100196,0.50781671159,3710
weather,51,1.01864170431,0.510242587601,3710
weather,52,0.995468953511,0.495956873315,3710
weather,53,0.99756073301,0.496765498652,3710
weather,54,0.989083970103,0.490026954178,3710
weather,55,1.00839359341,0.503773584906,3710
weather,56,0.99756073301,0.498921832884,3710
weather,57,0.999052419733,0.499730458221,3710
weather,58,1.00937700713,0.504582210243,3710
weather,59,1.02754805227,0.514555256065,3710
weather,60,1.02204649675,0.512398921833,3710
weather,61,0.999585516428,0.499460916442,3710
weather,62,1.00877431241,0.503773584906,3710
weather,63,1.00579895124,0.501886792453,3710
weather,64,1.00376757979,0.502964959569,3710
weather,65,1.02092081595,0.510242587601,3710
weather,66,1.03636467985,0.519676549865,3710
weather,67,1.01195623595,0.504851752022,3710
weather,68,0.989306765749,0.490835579515,3710
weather,69,1.03660667472,0.515094339623,3710
weather,70,1.00678147437,0.503773584906,3710
weather,71,1.03826257023,0.517520215633,3710
weather,72,1.00078627726,0.501347708895,3710
weather,73,1.00839359341,0.504582210243,3710
weather,74,0.999413846948,0.499730458221,3710
weather,75,1.03678474344,0.518598382749,3710
weather,76,1.0200458829,0.508086253369,3710
weather,77,0.997743260647,0.498921832884,3710
weather,78,0.991568050971,0.491913746631,3710
weather,79,1.01921448153,0.511051212938,3710
weather,80,1.00917496645,0.503234501348,3710
weather,81,0.998752884209,0.498921832884,3710
weather,82,1.01662069334,0.51051212938,3710
weather,83,1.0011516482,0.501078167116,3710
weather,84,0.994458770253,0.496495956873,3710
weather,85,1.00009604529,0.5,3710
weather,86,0.999451629395,0.499730458221,3710
weather,87,1.01230562802,0.507277628032,3710
weather,88,1.00105527165,0.500269541779,3710
weather,89,1.02750586403,0.516981132075,3710
weather,90,1.03509928735,0.518059299191,3710
weather,91,1.00424994756,0.50269541779,3710
weather,92,0.997657832371,0.498113207547,3710
weather,93,1.0152855975,0.507277628032,3710
weather,94,1.01960733271,0.508086253369,3710
weather,95,0.998193203678,0.497843665768,3710
weather,96,1.00130380337,0.500808625337,3710
weather,97,1.02671163959,0.51320754717,3710
weather,98,1.00099728956,0.500808625337,3710
weather,99,0.994871122799,0.494878706199,3710
morphology,0,0.869763237169,0.400317965024,3145
morphology,1,0.861081949,0.399364069952,3145
morphology,2,0.871311871549,0.402225755167,3145
morphology,3,0.8677944354,0.406041335453,3145
morphology,4,0.85937632075,0.400317965024,3145
morphology,5,0.87517789739,0.406677265501,3145
morphology,6,0.887544140054,0.409538950715,3145
morphology,7,0.866446743124,0.400635930048,3145
morphology,8,0.866393387992,0.401907790143,3145
morphology,9,0.874063782823,0.412082670906,3145
morphology,10,0.865904158007,0.400635930048,3145
