rep,feature,PC1,PC2,PC3,PC4,PC5
0,allocation_00,-0.182097841051,-0.289802741445,-0.212342858033,-0.179678411394,-0.208738231799
0,allocation_01,-0.186251719009,-0.291063317901,-0.215106993688,-0.178971133352,-0.208933158127
0,allocation_02,-0.202895216927,-0.288148736888,-0.208704247416,-0.145249489408,-0.138424080549
0,allocation_03,-0.228214680549,-0.2666598817,-0.144439689036,-0.0088320189358,0.0919686887485
0,allocation_04,-0.245255358596,-0.186978329576,0.0289155088789,0.243390638473,0.3701207454
0,allocation_05,-0.244586136668,-0.0371275849217,0.288729691065,0.345215262773,0.192223884003
0,allocation_06,-0.231526760058,0.0881964434454,0.352545624598,0.2778591995,0.0110617730864
0,allocation_07,-0.136664311411,0.265682793141,0.297572860482,0.0169034254246,-0.195932591901
0,allocation_08,-0.0913217519177,0.318946947263,0.160643419744,-0.307410311465,-0.259389454911
0,allocation_09,-0.0754340099812,0.315330563994,0.110172971624,-0.345438928454,-0.204741233522
0,allocation_10,0.0397328858876,0.295016988183,-0.285181616633,-0.141940020469,0.364720460524
0,allocation_11,0.0574819178516,0.294207338028,-0.322746725025,-0.0827038693867,0.349702710953
0,allocation_12,0.102611711262,0.237443623167,-0.349907993622,0.185750473607,0.0371170326906
0,allocation_13,0.245564224151,0.0910032848659,-0.259210580868,0.385687122562,-0.246407197139
0,allocation_14,0.274494506842,-0.0197799490473,-0.129960801806,0.372585318286,-0.336359394342
0,allocation_15,0.307814820897,-0.12152656164,0.0972272658229,0.0992915331931,-0.209464412332
0,allocation_16,0.31542202048,-0.155493806781,0.160535361331,-0.0860232215868,0.0329583515689
0,allocation_17,0.313264648102,-0.165731367369,0.167383728024,-0.153196625341,0.16627137725
0,allocation_18,0.307839189786,-0.167692859692,0.164791347133,-0.165309710457,0.174945546924
0,allocation_19,0.307272171853,-0.167670470698,0.163792738598,-0.166302633226,0.172464765549
1,allocation_00,-0.199295169526,-0.276361719791,-0.209587978951,-0.169833619769,-0.223909385567
1,allocation_01,-0.203292411974,-0.277645916149,-0.212608552503,-0.170272226368,-0.224998799296
1,allocation_02,-0.221406646999,-0.27282775918,-0.206228899155,-0.142847229212,-0.13532639645
1,allocation_03,-0.242623269683,-0.250015387419,-0.144895267042,-0.0211981122915,0.109182185481
1,allocation_04,-0.255262297556,-0.170438570325,0.0308560235631,0.22875136861,0.39073456297
1,allocation_05,-0.244041042271,-0.0199344755842,0.293514156261,0.338575393359,0.203774114279
