kind,fold,stage,feature,center,scale,train_n
random_fire,1,state_weather_interactions,wind_speed_m_s_x_previous_growth_log1p,3.25473412027,3.79201582381,69625
random_fire,2,autoregressive,current_growth_log1p,0.86104421139,0.840886559885,70397
random_fire,2,autoregressive,previous_growth_log1p,0.855240679505,0.844856861182,70397
random_fire,2,autoregressive,cumulative_log1p,1.97962416244,1.35368949204,70397
random_fire,2,autoregressive,elapsed_log1p,1.67863179878,0.737070451253,70397
random_fire,2,weather_only,maximum_temperature_c,25.8873751722,7.21333905723,70397
random_fire,2,weather_only,minimum_temperature_c,10.9831249911,7.36484039092,70397
random_fire,2,weather_only,vpd_kpa,1.30147136952,0.717496157316,70397
random_fire,2,weather_only,wind_speed_m_s,3.8139707658,1.60925324491,70397
random_fire,2,state_plus_weather,current_growth_log1p,0.86104421139,0.840886559885,70397
random_fire,2,state_plus_weather,previous_growth_log1p,0.855240679505,0.844856861182,70397
random_fire,2,state_plus_weather,cumulative_log1p,1.97962416244,1.35368949204,70397
random_fire,2,state_plus_weather,elapsed_log1p,1.67863179878,0.737070451253,70397
random_fire,2,state_plus_weather,maximum_temperature_c,25.8873751722,7.21333905723,70397
random_fire,2,state_plus_weather,minimum_temperature_c,10.9831249911,7.36484039092,70397
random_fire,2,state_plus_weather,vpd_kpa,1.30147136952,0.717496157316,70397
random_fire,2,state_plus_weather,wind_speed_m_s,3.8139707658,1.60925324491,70397
random_fire,2,state_weather_interactions,current_growth_log1p,0.86104421139,0.840886559885,70397
random_fire,2,state_weather_interactions,previous_growth_log1p,0.855240679505,0.844856861182,70397
random_fire,2,state_weather_interactions,cumulative_log1p,1.97962416244,1.35368949204,70397
random_fire,2,state_weather_interactions,elapsed_log1p,1.67863179878,0.737070451253,70397
random_fire,2,state_weather_interactions,maximum_temperature_c,25.8873751722,7.21333905723,70397
random_fire,2,state_weather_interactions,minimum_temperature_c,10.9831249911,7.36484039092,70397
random_fire,2,state_weather_interactions,vpd_kpa,1.30147136952,0.717496157316,70397
random_fire,2,state_weather_interactions,wind_speed_m_s,3.8139707658,1.60925324491,70397
random_fire,2,state_weather_interactions,maximum_temperature_c_x_current_growth_log1p,22.4108193823,24.2588442658,70397
random_fire,2,state_weather_interactions,maximum_temperature_c_x_previous_growth_log1p,22.2530506046,24.348511837,70397
random_fire,2,state_weather_interactions,minimum_temperature_c_x_current_growth_log1p,9.15704880171,12.021980721,70397
random_fire,2,state_weather_interactions,minimum_temperature_c_x_previous_growth_log1p,9.07416818419,11.9939540309,70397
random_fire,2,state_weather_interactions,vpd_kpa_x_current_growth_log1p,1.25130406136,1.81691749335,70397
random_fire,2,state_weather_interactions,vpd_kpa_x_previous_growth_log1p,1.23611691292,1.8072521965,70397
random_fire,2,state_weather_interactions,wind_speed_m_s_x_current_growth_log1p,3.35242995497,3.90010931128,70397
random_fire,2,state_weather_interactions,wind_speed_m_s_x_previous_growth_log1p,3.30879084884,3.84125110707,70397
random_fire,3,autoregressive,current_growth_log1p,0.853428375142,0.826843716011,70714
random_fire,3,autoregressive,previous_growth_log1p,0.846060616747,0.828870637645,70714
random_fire,3,autoregressive,cumulative_log1p,1.96689501339,1.33210927499,70714
random_fire,3,autoregressive,elapsed_log1p,1.67768879172,0.736087713021,70714
random_fire,3,weather_only,maximum_temperature_c,25.9252128291,7.20206973211,70714
random_fire,3,weather_only,minimum_temperature_c,11.0407005685,7.37008012634,70714
random_fire,3,weather_only,vpd_kpa,1.30477331222,0.718629426102,70714
random_fire,3,weather_only,wind_speed_m_s,3.816176429,1.60835104344,70714
random_fire,3,state_plus_weather,current_growth_log1p,0.853428375142,0.826843716011,70714
random_fire,3,state_plus_weather,previous_growth_log1p,0.846060616747,0.828870637645,70714
random_fire,3,state_plus_weather,cumulative_log1p,1.96689501339,1.33210927499,70714
random_fire,3,state_plus_weather,elapsed_log1p,1.67768879172,0.736087713021,70714
