rep,n,subspace_overlap,pc1,first_five,axis1_cosine,axis2_cosine,axis3_cosine,axis4_cosine,axis5_cosine
0,10000,0.998890680907,0.340066402492,0.896102766423,0.999710384351,0.99971226129,0.999935588551,0.999745607631,0.997506425498
1,10000,0.999803507095,0.340331791326,0.895218443924,0.998945106001,0.998953062403,0.999922852971,0.99940457961,0.999426095849
2,10000,0.999357696012,0.341277155591,0.896230074373,0.997957395083,0.997821428771,0.999826015379,0.999717501693,0.998464586943
3,10000,0.99861082918,0.343915396211,0.892796099997,0.999558199483,0.999480451455,0.999724307911,0.999597920285,0.996863370236
4,10000,0.999432360272,0.345515837778,0.895718094712,0.999638192794,0.999647158243,0.999863720179,0.999668243077,0.998990503627
5,10000,0.99980553848,0.337613133953,0.895777319665,0.999878671407,0.999903105833,0.999925876109,0.999569464915,0.999268948067
6,10000,0.998894638591,0.34125264353,0.893905374956,0.998891547706,0.99887663633,0.999560253637,0.99933261047,0.997529004887
7,10000,0.999497768242,0.339852757323,0.894072981128,0.998761945127,0.998727274505,0.999842063192,0.999640866853,0.999022627981
8,10000,0.999254899057,0.343067989381,0.898697594771,0.999972290277,0.999956551651,0.999451489317,0.999449454958,0.998244650414
9,10000,0.99956602408,0.340887531293,0.890413016183,0.999693618856,0.999726001099,0.999878837345,0.999636111464,0.999176778911
10,10000,0.998864946902,0.339728462518,0.89656559068,0.998846147173,0.998800260144,0.999855408113,0.999344164756,0.997233794786
11,10000,0.99893260033,0.340422894798,0.892990429371,0.99950031361,0.999375075075,0.998859861096,0.99891262493,0.99749978585
12,10000,0.999619372692,0.343704395866,0.89654647555,0.999745413145,0.999789953584,0.999626518903,0.999167156869,0.999019818175
13,10000,0.999459150814,0.336445957749,0.893424844226,0.999812206,0.99979214515,0.999593387313,0.999486405015,0.998804807813
14,10000,0.999648453492,0.340261679987,0.898234825782,0.9998488611,0.99977571952,0.999711412749,0.999386715112,0.999430107486
15,10000,0.999401823157,0.338830088506,0.891037908979,0.999962631642,0.999892615384,0.998970157006,0.998500131943,0.998847285844
16,10000,0.999724595242,0.339972078741,0.894633773967,0.999623470484,0.999647548931,0.998702041713,0.998391674934,0.999130262767
17,10000,0.998181359698,0.342011404518,0.89400824829,0.9999258134,0.999915392812,0.999557092959,0.998964119506,0.995227400257
18,10000,0.999620950517,0.339733574179,0.89400914696,0.999965088139,0.999817844923,0.999478386731,0.999076086094,0.99905961688
19,10000,0.999569555214,0.339672769122,0.894429738352,0.999815163964,0.999785649608,0.99992754086,0.999353210824,0.998643400352
20,10000,0.998808750232,0.342624058371,0.89623857146,0.999749030902,0.999742182275,0.999645470096,0.999100323108,0.997224534147
21,10000,0.99872148882,0.341215474535,0.896394361038,0.999835530045,0.999813968997,0.999455221523,0.999158127089,0.997021921688
22,10000,0.999697151669,0.339722574268,0.894414888708,0.998873047507,0.998883198614,0.999784069408,0.998975037182,0.998845508205
23,10000,0.999392387517,0.341965555673,0.891881457689,0.998715482427,0.998720707181,0.999754122662,0.99947516969,0.999084931418
24,10000,0.999662429762,0.339553487443,0.894791134219,0.9977429427,0.997776047205,0.999314944148,0.999209241151,0.999181408584
25,10000,0.999471953049,0.342265060772,0.894767902924,0.997795072166,0.997744747397,0.999500218047,0.999338381625,0.998892138541
26,10000,0.999248545982,0.345516783462,0.898779979359,0.999690225028,0.999501576826,0.999478502407,0.999416862186,0.998168986118
27,10000,0.999161423601,0.343963355929,0.894229205033,0.999076852227,0.999047224336,0.999755353383,0.999633094918,0.998126386967
28,10000,0.998752110468,0.343678732743,0.896523054811,0.99994473311,0.999939263828,0.999753394559,0.998884814697,0.997100414417
29,10000,0.998928688085,0.344456820847,0.897869882085,0.998511989536,0.998414014923,0.999723379735,0.999521488742,0.997766089025
30,10000,0.999604265273,0.340361234789,0.896046446614,0.999790548946,0.999735507913,0.998440382617,0.998415216106,0.999237301273
31,10000,0.999549916477,0.343993857125,0.893123086157,0.999956020891,0.999891907012,0.999748030528,0.999015748273,0.998819778962
32,10000,0.999509158893,0.341732245605,0.89498917814,0.999309320597,0.999139727705,0.999344582059,0.999405727925,0.998754647666
33,10000,0.999290696854,0.340827240165,0.894715893065,0.998070226916,0.998090145432,0.998348965366,0.99788090819,0.998746795523
34,10000,0.999621213124,0.341351907743,0.895378924357,0.999299541826,0.999366568628,0.99964761771,0.99959560446,0.999166273916
35,10000,0.999356249259,0.34288544572,0.893810850732,0.995281573547,0.995253709235,0.999635227478,0.999516607382,0.998692299965
36,10000,0.998846264108,0.340329348345,0.897043734868,0.999176122989,0.999142242642,0.999826651797,0.999640897016,0.997230644796
37,10000,0.999743399645,0.338916370623,0.893290979974,0.999192533489,0.999304544582,0.999819397003,0.999676893619,0.9992676051
38,10000,0.998989967086,0.343040426511,0.898185123002,0.999501016323,0.99945894658,0.999506599393,0.999237413258,0.997786744338
39,10000,0.999431196827,0.338820199345,0.893684044962,0.999331017527,0.999305533522,0.999802284359,0.999689838943,0.99879648656
40,10000,0.999565734261,0.342138518736,0.893498866418,0.99915033097,0.999011535595,0.999786984082,0.999488961661,0.999402147084
41,10000,0.99881250283,0.34062754886,0.893291837248,0.999575283527,0.999371866299,0.999321714683,0.999160436166,0.997602161313
42,10000,0.998987140655,0.340659083449,0.893055399172,0.999387861922,0.999531577141,0.998873430071,0.998486012017,0.998311885175
43,10000,0.999106331795,0.334270813917,0.889761470643,0.99799667745,0.997950452817,0.999169341847,0.997956520255,0.997662604149
44,10000,0.999341096825,0.344224259037,0.898300607442,0.999794705596,0.999778678684,0.999829033388,0.999518238351,0.99881973948
45,10000,0.99893376172,0.341059485045,0.897265192748,0.999904523457,0.999781717237,0.999602141713,0.997911866346,0.996669498438
46,10000,0.999614550924,0.341709661186,0.897097614888,0.999962847178,0.999690956381,0.999613795268,0.999822372062,0.999256392329
47,10000,0.999480363287,0.343777872536,0.892832461378,0.999289782873,0.999363066924,0.999317762169,0.999800078036,0.998999146681
48,10000,0.999641368525,0.343836474367,0.897092742298,0.997508020367,0.997486370075,0.999800691817,0.999279691419,0.999121878246
49,10000,0.999415749307,0.343420975334,0.895442072502,0.999058531114,0.99886746297,0.999665574294,0.999812642618,0.998691872259
50,10000,0.999725863913,0.340877548613,0.89363811573,0.999959494502,0.99989441149,0.99978802126,0.999696116798,0.999183163646
51,10000,0.999279198846,0.340384552062,0.891882391331,0.99986541356,0.999832619816,0.999309543901,0.998396569742,0.99805491032
52,10000,0.999609425332,0.342791404407,0.895488123499,0.999972483749,0.999970736445,0.99954310075,0.999494083572,0.999122255865
53,10000,0.99929458169,0.341097008772,0.895729692694,0.999773562416,0.999870121206,0.999558977456,0.999480711452,0.99839497112
54,10000,0.999541314787,0.348093987457,0.899189804682,0.999412729617,0.999330920921,0.999781698424,0.999318056617,0.999267242279
