feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,training_mean,training_scale
allocation_00,-0.187112596196,-0.2854049273,-0.213235477507,-0.179427050174,-0.220653554618,0.227009992469,-0.199818375686,0.0593120930346,0.0277636679639,0.293956469743,0.0589670704808,0.0347119022905,-0.298202039936,-0.111907743651,-0.00559717840023,0.0916006191001,0.0616241313141,-0.635428938017,0.0802488475771,0.215550983065,0.0457598490165,0.0331738198833
allocation_01,-0.191075426403,-0.286336921979,-0.216254204033,-0.180013326373,-0.223723521987,0.212308124075,-0.184799188747,0.0689012892664,0.0127258374692,0.217276021031,0.0351449106335,0.0298734473816,-0.0882963846955,-0.0378511762171,0.0363566588429,-0.00801110018142,0.0291908766046,0.744371582638,-0.0828619608371,0.215371707181,0.0461384905499,0.0331462288893
allocation_02,-0.209641588841,-0.284131814218,-0.208578116616,-0.146622031706,-0.137941762795,0.0366079291021,0.0440362660022,0.0064930832191,-0.0750907978377,-0.360653649228,-0.0827920574684,-0.0444969626078,0.678561974972,0.273143116335,0.0278614182526,-0.136114552422,-0.127903197673,-0.155145401637,0.00503091825443,0.220480102238,0.0477876808225,0.0339324232972
allocation_03,-0.233465256894,-0.25922983454,-0.139691789252,-0.0078417221226,0.11682471898,-0.32068976875,0.341456375511,-0.15996987185,0.00672473760628,-0.525812525931,-0.0412359571938,-0.0313939260237,-0.411938563678,-0.209911313799,-0.0785402297869,0.180611296503,0.0992761798907,0.0550680606861,0.00194654534804,0.235369100671,0.0505999110198,0.0362238763225
allocation_04,-0.245917152447,-0.18210852191,0.0335295506188,0.240916329405,0.39028804253,-0.325070735594,0.307833693228,0.103123723326,-0.165045570453,0.551086212209,0.0381621559778,0.0547880062309,0.0492998296057,0.214660432657,0.0423811053371,-0.158183383856,-0.06301437446,-0.0112360024082,-0.00356333627187,0.262626933317,0.0548166636954,0.0404189229781
allocation_05,-0.242759584389,-0.0302895522705,0.291358735532,0.345445970311,0.190152866402,0.0131758799906,-0.377871784362,-0.203924843967,0.363960575791,-0.00174052850529,0.120290962736,-0.0348452309189,0.312759367806,-0.38607209889,0.0193020475622,0.208523596393,0.0583966438259,0.00175213662365,0.00634902624995,0.269982631113,0.0589896143442,0.0415509827365
allocation_06,-0.228059449468,0.0933287161436,0.351854327753,0.277002466601,-0.00703397398677,0.293882939809,-0.220247398551,0.0762478126804,-0.0323899013893,-0.280208091701,-0.130914364723,-0.0123714521204,-0.376691382866,0.463501648609,0.039130221495,-0.276420760725,-0.0935413573022,-0.00470794491527,-0.00738535869778,0.240111877923,0.0596559048624,0.0369538012622
allocation_07,-0.129910167263,0.26744705162,0.296730590007,0.0241641810074,-0.22256752231,0.304318814262,0.378132737534,0.268464800044,-0.420730375295,0.0201314288363,-0.0696180144679,0.0762517313635,0.148243159311,-0.250461519298,-0.12936391747,0.30562587948,0.119595725727,0.0134282684689,0.00730355992872,0.261327743838,0.0600033390035,0.0402189745615
allocation_08,-0.0837884259217,0.323677146539,0.159970957309,-0.305997169122,-0.251096664302,-0.214327165664,0.10370428526,-0.141651679165,0.0235220843554,0.0170337299894,0.453831268685,-0.303700275404,-0.0425748436283,-0.0874152263181,0.419993801192,-0.271741803411,-0.0769224739802,-0.0182640982356,-0.00384065532331,0.253346077788,0.0592433395552,0.0389905767683
allocation_09,-0.0687291669056,0.319628921111,0.11085063577,-0.345248356819,-0.179865940612,-0.338968320854,-0.0854508433159,-0.237122449452,0.243513548171,0.152966877213,-0.342721123921,0.29556323815,0.0127191530005,0.227532748129,-0.365854352109,0.103651265798,0.0140437276118,0.00968662525853,-0.00077479898537,0.257911794209,0.0588101658364,0.039693251616
allocation_10,0.0492148998303,0.296489699619,-0.283316857207,-0.149413602785,0.36742638673,-0.0711636273594,-0.316440305792,0.192347563621,-0.249596990015,-0.0814298347169,-0.41456078131,0.0976479416621,-0.00928810466794,-0.264131580445,0.380965123144,-0.0917122310565,-0.0193750685507,-0.0151155931457,0.00134980966338,0.235695075677,0.054743518499,0.0362740446678
allocation_11,0.0666348402637,0.2942973527,-0.320934261888,-0.0842509237312,0.350274382684,0.0974050479954,-0.142923176025,0.148743817528,-0.0349113059501,-0.0811326124438,0.476074579642,-0.216768320357,-0.000162040138661,0.286977561317,-0.36031763729,0.264923338152,0.0953043441623,0.0219480684923,0.00350154497202,0.225249140061,0.0540209883761,0.0346663898026
allocation_12,0.11177758247,0.230966491796,-0.347900686702,0.201544015264,0.0105139832381,0.349005615988,0.406284204344,-0.0330216330797,0.479681947743,0.0435749307702,-0.105796387491,0.0317668191389,-0.00200567728197,-0.183472831027,-0.119432654329,-0.350791819958,-0.144856252098,-0.010845164889,-0.010260151257,0.219192816133,0.0517979051207,0.0337343068388
allocation_13,0.247226769874,0.0830725914534,-0.257520618597,0.385888922568,-0.244420202505,0.000219453203671,0.0625733066915,-0.31536280412,-0.0435346569329,0.042329220029,0.000761995996249,0.161729784387,-0.00284138875765,0.309440083146,0.456505300056,0.413512050343,0.119333258109,0.00875020389147,0.0197186592286,0.184227697032,0.0488243886998,0.0283530900762
allocation_14,0.275152543619,-0.0253173978714,-0.13181373654,0.366906500714,-0.31517434205,-0.263546841855,-0.254108455177,-0.120183811512,-0.405404490984,-0.0115716582865,0.0793518572975,-0.0433367666953,-0.00573432439872,-0.215210031049,-0.392688153664,-0.322496665483,-0.0711830903683,-0.00560750568208,-0.0163345567593,0.203137120669,0.0466974833732,0.0312632963064
allocation_15,0.304178831777,-0.12916084751,0.0945228926437,0.0938117580792,-0.204019431893,-0.278501338255,-0.0104271913087,0.603667973076,0.332173137943,0.00138488508611,-0.210405860066,-0.401927542628,-0.00145746256744,0.0628207355495,0.0507353193152,0.12782584597,0.110458992456,-0.00141196713555,-0.00637975491463,0.195150093826,0.0430471843763,0.0300340734741
allocation_16,0.31326009719,-0.162182599253,0.161527861561,-0.0921178137954,0.0439319597515,-0.0552081987782,-0.00641836730195,0.28793200232,0.105644583694,-0.162990993481,0.361923683571,0.656986383058,-0.0235950954821,-0.0436260656704,0.0680563526549,0.0165670317858,-0.330139980716,0.00213362454322,0.0463874234575,0.184938985253,0.0408705824267,0.0284625590613
allocation_17,0.310458680192,-0.171153834507,0.170469843743,-0.152397112705,0.155377444908,0.12504122704,0.0484713909259,-0.125632095543,-0.00376061162153,-0.0295003358679,0.0389389012725,0.129131790467,0.0650582317734,0.0383917201075,0.0170187963758,-0.30470215061,0.766972335166,-0.031815393214,-0.151823178572,0.184125773455,0.0398064957111,0.0283374037902
allocation_18,0.306112628729,-0.17276096578,0.169219755679,-0.161421860284,0.159423069468,0.159078476406,0.0441193492498,-0.245093485342,-0.0809344769101,0.0616243438545,-0.127460221385,-0.227731998642,-0.0121553537441,0.00727010477379,-0.033670227112,0.0408092278859,-0.161616432363,0.0938592441936,0.747165067165,0.185409500518,0.0392538037141,0.0285349725034
allocation_19,0.305043100848,-0.172757590897,0.168190124169,-0.161807135848,0.158496566603,0.161821404894,0.0416059365135,-0.249836563397,-0.0885220366766,0.0724388101143,-0.127988874387,-0.24058517928,-0.0444227785788,-0.00608776575442,-0.0237779733556,0.172398447128,-0.383767952744,-0.0592879940789,-0.634204437488,0.185812307334,0.0391326909971,0.0285969654508
