predictor,response,n,raw_spearman,partial_rank,resampling,low,high
wet_fraction,pulse_count,63840,0.0507842422149,0.0137508453665,year,0.00703887311966,0.0199449192016
wet_fraction,pulse_count,63840,0.0507842422149,0.0137508453665,region,0.00577383028987,0.0357942025804
wet_fraction,reactivation_count,63840,0.0349033883864,0.00169400520048,fire_id,-0.00518565045022,0.00824037570887
wet_fraction,reactivation_count,63840,0.0349033883864,0.00169400520048,year,-0.00444522021387,0.00712219026367
wet_fraction,reactivation_count,63840,0.0349033883864,0.00169400520048,region,-0.00184473569251,0.00447479889692
wet_fraction,normalized_first_difference,63840,0.044863356908,0.00269436011234,fire_id,-0.00454405014078,0.0117561813
wet_fraction,normalized_first_difference,63840,0.044863356908,0.00269436011234,year,-0.00326128110426,0.00830429935375
wet_fraction,normalized_first_difference,63840,0.044863356908,0.00269436011234,region,-0.000482071781661,0.00995346374414
wet_fraction,normalized_second_difference,63840,0.0446899094274,0.00976180438373,fire_id,0.00210347812864,0.0172597243636
wet_fraction,normalized_second_difference,63840,0.0446899094274,0.00976180438373,year,0.00477170110618,0.0148602910307
wet_fraction,normalized_second_difference,63840,0.0446899094274,0.00976180438373,region,0.00375474180733,0.0171819679489
wet_fraction,log_duration,63840,0.149018892209,0.1583383498,fire_id,0.14931762125,0.167025993489
wet_fraction,log_duration,63840,0.149018892209,0.1583383498,year,0.145611448646,0.170067783632
wet_fraction,log_duration,63840,0.149018892209,0.1583383498,region,0.129465697209,0.176571058132
wet_fraction,log_observations,63840,0.062934518213,-0.0823275634079,fire_id,-0.0901311426878,-0.0740631469256
wet_fraction,log_observations,63840,0.062934518213,-0.0823275634079,year,-0.0895276944494,-0.0742587099688
wet_fraction,log_observations,63840,0.062934518213,-0.0823275634079,region,-0.10158382726,-0.0612247172535
any_precipitation,front_loaded_fraction,63840,-0.0399113419825,-0.0358947570842,fire_id,-0.0444046988641,-0.0291306687181
any_precipitation,front_loaded_fraction,63840,-0.0399113419825,-0.0358947570842,year,-0.0426068819517,-0.0293976493084
any_precipitation,front_loaded_fraction,63840,-0.0399113419825,-0.0358947570842,region,-0.0466888922848,-0.0239501229674
any_precipitation,late_growth_fraction,63840,0.00630569291691,0.0407751788523,fire_id,0.0340149690206,0.0489837779312
any_precipitation,late_growth_fraction,63840,0.00630569291691,0.0407751788523,year,0.0323209436938,0.0481915381726
any_precipitation,late_growth_fraction,63840,0.00630569291691,0.0407751788523,region,0.0376010170244,0.0455017379682
any_precipitation,peak_timing,63840,0.0472523477315,0.0216596741246,fire_id,0.0131419455734,0.0285491485454
any_precipitation,peak_timing,63840,0.0472523477315,0.0216596741246,year,0.0143447031283,0.0279757872703
any_precipitation,peak_timing,63840,0.0472523477315,0.0216596741246,region,0.0127887562051,0.0296377066766
any_precipitation,terminal_taper_fraction,63840,-0.0919297522514,0.0300220009714,fire_id,0.0228179953015,0.0375827073814
any_precipitation,terminal_taper_fraction,63840,-0.0919297522514,0.0300220009714,year,0.0215288783407,0.0377261154013
any_precipitation,terminal_taper_fraction,63840,-0.0919297522514,0.0300220009714,region,0.0267623766535,0.0338593861662
any_precipitation,normalized_entropy,63840,-0.0359900988427,0.00590297812625,fire_id,-5.53178096365e-05,0.013900451488
any_precipitation,normalized_entropy,63840,-0.0359900988427,0.00590297812625,year,-0.00353144023621,0.0146733379957
any_precipitation,normalized_entropy,63840,-0.0359900988427,0.00590297812625,region,-0.0017215468175,0.0151765564391
any_precipitation,pulse_count,63840,0.15672279538,0.0241192277559,fire_id,0.0171286638255,0.0319377362917
any_precipitation,pulse_count,63840,0.15672279538,0.0241192277559,year,0.0173458362662,0.0303727284836
any_precipitation,pulse_count,63840,0.15672279538,0.0241192277559,region,0.00977655333619,0.0423622155994
any_precipitation,reactivation_count,63840,0.119032050893,0.0193836530115,fire_id,0.0130033558199,0.0259617605974
any_precipitation,reactivation_count,63840,0.119032050893,0.0193836530115,year,0.0132669909606,0.0254595453067
any_precipitation,reactivation_count,63840,0.119032050893,0.0193836530115,region,0.0133494883663,0.0281649034836
any_precipitation,normalized_first_difference,63840,0.188709615061,0.00297728837243,fire_id,-0.0052746587838,0.0110737824859
any_precipitation,normalized_first_difference,63840,0.188709615061,0.00297728837243,year,-0.0024627391926,0.00890918142807
any_precipitation,normalized_first_difference,63840,0.188709615061,0.00297728837243,region,-0.001453497349,0.00703084644458
any_precipitation,normalized_second_difference,63840,0.187681000363,0.00539851859998,fire_id,-0.00256778922685,0.0133135713683
any_precipitation,normalized_second_difference,63840,0.187681000363,0.00539851859998,year,0.000782886257549,0.00979022624261
any_precipitation,normalized_second_difference,63840,0.187681000363,0.00539851859998,region,-0.000707690146618,0.00970672938698
any_precipitation,log_duration,63840,0.30043547164,0.169108278299,fire_id,0.16077504117,0.176744176472
any_precipitation,log_duration,63840,0.30043547164,0.169108278299,year,0.156704045917,0.182497871597
any_precipitation,log_duration,63840,0.30043547164,0.169108278299,region,0.138320214767,0.194003517746
any_precipitation,log_observations,63840,0.250086691511,0.00637168474402,fire_id,-0.00155224912697,0.0144143252943
any_precipitation,log_observations,63840,0.250086691511,0.00637168474402,year,-0.000634247690782,0.0161390232141
any_precipitation,log_observations,63840,0.250086691511,0.00637168474402,region,-0.0202583096956,0.0298365839447
mean_vpd_kpa,front_loaded_fraction,63840,0.063373886918,0.0424204249325,fire_id,0.0350303131203,0.0515161042058
mean_vpd_kpa,front_loaded_fraction,63840,0.063373886918,0.0424204249325,year,0.0310358367496,0.056560220754
mean_vpd_kpa,front_loaded_fraction,63840,0.063373886918,0.0424204249325,region,0.0351204266299,0.0495904952258
mean_vpd_kpa,late_growth_fraction,63840,-0.0621690057026,-0.0461849415156,fire_id,-0.0538429656272,-0.0383239600245
mean_vpd_kpa,late_growth_fraction,63840,-0.0621690057026,-0.0461849415156,year,-0.0569037348509,-0.0381728297663
mean_vpd_kpa,late_growth_fraction,63840,-0.0621690057026,-0.0461849415156,region,-0.0645848825827,-0.0277788721445
mean_vpd_kpa,peak_timing,63840,-0.0410035791077,-0.0278666285911,fire_id,-0.0361665347967,-0.0209607134156
mean_vpd_kpa,peak_timing,63840,-0.0410035791077,-0.0278666285911,year,-0.039719097561,-0.0172276905525
mean_vpd_kpa,peak_timing,63840,-0.0410035791077,-0.0278666285911,region,-0.0338741569716,-0.0239244618094
mean_vpd_kpa,terminal_taper_fraction,63840,-0.0624900707087,-0.0417578146352,fire_id,-0.0507722057517,-0.0351694949686
mean_vpd_kpa,terminal_taper_fraction,63840,-0.0624900707087,-0.0417578146352,year,-0.0507855343317,-0.0326017813047
mean_vpd_kpa,terminal_taper_fraction,63840,-0.0624900707087,-0.0417578146352,region,-0.06009772385,-0.0251250832009
mean_vpd_kpa,normalized_entropy,63840,-0.0017619345842,-0.0100527713176,fire_id,-0.0170368057374,-0.00236963263213
mean_vpd_kpa,normalized_entropy,63840,-0.0017619345842,-0.0100527713176,year,-0.0180452592347,-0.00249864353494
mean_vpd_kpa,normalized_entropy,63840,-0.0017619345842,-0.0100527713176,region,-0.0216263759014,0.00136976463317
mean_vpd_kpa,pulse_count,63840,-0.00876191180022,-0.0380609771695,fire_id,-0.0463223679267,-0.0307585970816
mean_vpd_kpa,pulse_count,63840,-0.00876191180022,-0.0380609771695,year,-0.0454100253095,-0.0306517791516
mean_vpd_kpa,pulse_count,63840,-0.00876191180022,-0.0380609771695,region,-0.0765614080425,-0.012831411877
mean_vpd_kpa,reactivation_count,63840,0.0181513733992,-0.000935749067002,fire_id,-0.00835628739785,0.00662038826256
mean_vpd_kpa,reactivation_count,63840,0.0181513733992,-0.000935749067002,year,-0.0107918143156,0.0103396815305
mean_vpd_kpa,reactivation_count,63840,0.0181513733992,-0.000935749067002,region,-0.0196704581095,0.0117946639389
mean_vpd_kpa,normalized_first_difference,63840,0.0395125059101,0.00394899288851,fire_id,-0.00379805048734,0.0112343106141
mean_vpd_kpa,normalized_first_difference,63840,0.0395125059101,0.00394899288851,year,-0.00648101016594,0.0145244044127
mean_vpd_kpa,normalized_first_difference,63840,0.0395125059101,0.00394899288851,region,-0.0080395688997,0.00969109098033
mean_vpd_kpa,normalized_second_difference,63840,0.0366721210717,-0.00514174160324,fire_id,-0.0123100370771,0.00230948693453
mean_vpd_kpa,normalized_second_difference,63840,0.0366721210717,-0.00514174160324,year,-0.015202553989,0.00253621326873
mean_vpd_kpa,normalized_second_difference,63840,0.0366721210717,-0.00514174160324,region,-0.01586572209,0.0015266347126
mean_vpd_kpa,log_duration,63840,-0.0438271114254,-0.148133642748,fire_id,-0.156824286638,-0.14058935181
mean_vpd_kpa,log_duration,63840,-0.0438271114254,-0.148133642748,year,-0.163330601733,-0.133260721554
mean_vpd_kpa,log_duration,63840,-0.0438271114254,-0.148133642748,region,-0.186743781524,-0.113399639551
mean_vpd_kpa,log_observations,63840,0.0706921378904,0.111696260076,fire_id,0.103507165113,0.120109589122
mean_vpd_kpa,log_observations,63840,0.0706921378904,0.111696260076,year,0.103136887301,0.122194478837
mean_vpd_kpa,log_observations,63840,0.0706921378904,0.111696260076,region,0.0866148199799,0.140620408524
max_vpd,front_loaded_fraction,63840,0.0588075275228,0.0306641099805,fire_id,0.0226638727959,0.037383932519
max_vpd,front_loaded_fraction,63840,0.0588075275228,0.0306641099805,year,0.0176245615809,0.0437384904607
max_vpd,front_loaded_fraction,63840,0.0588075275228,0.0306641099805,region,0.0235318136202,0.0429219617271
max_vpd,late_growth_fraction,63840,-0.0860923611374,-0.0348896215612,fire_id,-0.0421815144497,-0.0264790683406
max_vpd,late_growth_fraction,63840,-0.0860923611374,-0.0348896215612,year,-0.0488018944344,-0.023103645826
max_vpd,late_growth_fraction,63840,-0.0860923611374,-0.0348896215612,region,-0.0495420657886,-0.0156229701991
max_vpd,peak_timing,63840,-0.0185927944906,-0.0199030912168,fire_id,-0.0278075932357,-0.0116295781364
max_vpd,peak_timing,63840,-0.0185927944906,-0.0199030912168,year,-0.0306374848474,-0.00874861059199
max_vpd,peak_timing,63840,-0.0185927944906,-0.0199030912168,region,-0.0270637459915,-0.0133178654748
max_vpd,terminal_taper_fraction,63840,-0.134013053861,-0.036942141693,fire_id,-0.0443566116789,-0.0276216971716
max_vpd,terminal_taper_fraction,63840,-0.134013053861,-0.036942141693,year,-0.0477557039769,-0.0257725326308
max_vpd,terminal_taper_fraction,63840,-0.134013053861,-0.036942141693,region,-0.0518224857794,-0.0200885522864
max_vpd,normalized_entropy,63840,-0.0555401373249,-0.0149623888805,fire_id,-0.0218109426594,-0.00857069848087
max_vpd,normalized_entropy,63840,-0.0555401373249,-0.0149623888805,year,-0.0235234844931,-0.00578086124112
max_vpd,normalized_entropy,63840,-0.0555401373249,-0.0149623888805,region,-0.0256750703596,-0.00515223221079
max_vpd,pulse_count,63840,0.0551237198392,-0.0328127543524,fire_id,-0.0400957695138,-0.0252755993302
max_vpd,pulse_count,63840,0.0551237198392,-0.0328127543524,year,-0.040098082749,-0.0249707894489
max_vpd,pulse_count,63840,0.0551237198392,-0.0328127543524,region,-0.0620750681555,-0.00940209675306
max_vpd,reactivation_count,63840,0.0739535018927,0.0105907423385,fire_id,0.00273566312559,0.0165390984003
max_vpd,reactivation_count,63840,0.0739535018927,0.0105907423385,year,0.00344327514454,0.0197723650547
max_vpd,reactivation_count,63840,0.0739535018927,0.0105907423385,region,-0.00901924704077,0.0223529165719
max_vpd,normalized_first_difference,63840,0.144566103317,0.00571001947317,fire_id,-0.00213943027297,0.0140240856888
max_vpd,normalized_first_difference,63840,0.144566103317,0.00571001947317,year,-0.00601777610682,0.016299369201
max_vpd,normalized_first_difference,63840,0.144566103317,0.00571001947317,region,-0.00115761511836,0.00950311583191
max_vpd,normalized_second_difference,63840,0.141402606616,-0.00117852318298,fire_id,-0.00873008844611,0.00607024242508
max_vpd,normalized_second_difference,63840,0.141402606616,-0.00117852318298,year,-0.010511937994,0.00669990644493
max_vpd,normalized_second_difference,63840,0.141402606616,-0.00117852318298,region,-0.0115466505878,0.00371290038887
max_vpd,log_duration,63840,0.0790819034474,-0.0624399840575,fire_id,-0.0711392057945,-0.0551039063628
max_vpd,log_duration,63840,0.0790819034474,-0.0624399840575,year,-0.0793050075293,-0.0469754458277
max_vpd,log_duration,63840,0.0790819034474,-0.0624399840575,region,-0.105848407553,-0.0161856747126
max_vpd,log_observations,63840,0.187003495521,0.123979211017,fire_id,0.116739180706,0.131075473676
max_vpd,log_observations,63840,0.187003495521,0.123979211017,year,0.113040631553,0.136978845866
max_vpd,log_observations,63840,0.187003495521,0.123979211017,region,0.0979321958084,0.150623012952
