kind,alpha,predictor_set,response,n,cohort_n,cohort_hash,r2,reference,delta_r2,status
region_block,1,core_plus_max,legacy_morph_pc1,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.487155504515,mean_only,0.489752468298,evaluated
region_block,1,comprehensive_means,legacy_front_loaded_fraction,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,-0.0036980066003,mean_only,-0.00185788443942,evaluated
region_block,1,comprehensive_means,legacy_late_growth_fraction,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,-0.00213644702701,mean_only,-0.00109893228331,evaluated
region_block,1,comprehensive_means,legacy_terminal_taper_fraction,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,-0.00113622077992,mean_only,0.00250489688358,evaluated
region_block,1,comprehensive_means,legacy_growth_entropy,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,-0.00421397162165,mean_only,-0.00204136240852,evaluated
region_block,1,comprehensive_means,legacy_pulse_count,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,-0.00139723654513,mean_only,-0.000223195777171,evaluated
region_block,1,comprehensive_means,legacy_reactivation_count,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,-0.00143769374345,mean_only,-0.000269052793782,evaluated
region_block,1,comprehensive_means,legacy_peak_timing,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,-0.00357535512093,mean_only,-0.00196721845294,evaluated
region_block,1,comprehensive_means,legacy_duration_days,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,-0.00414360448734,mean_only,-0.00231961654722,evaluated
region_block,1,comprehensive_means,legacy_final_area_km2,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.0109334722818,mean_only,0.0190611016067,evaluated
region_block,1,comprehensive_means,legacy_morph_pc1,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,-0.00559050985432,mean_only,-0.00299354607117,evaluated
region_block,1,comprehensive_plus_max,legacy_front_loaded_fraction,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.363390759593,mean_only,0.365230881754,evaluated
region_block,1,comprehensive_plus_max,legacy_late_growth_fraction,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.159185363555,mean_only,0.160222878299,evaluated
region_block,1,comprehensive_plus_max,legacy_terminal_taper_fraction,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.335255949733,mean_only,0.338897067397,evaluated
region_block,1,comprehensive_plus_max,legacy_growth_entropy,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.368798617287,mean_only,0.370971226501,evaluated
region_block,1,comprehensive_plus_max,legacy_pulse_count,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.146205133802,mean_only,0.14737917457,evaluated
region_block,1,comprehensive_plus_max,legacy_reactivation_count,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.148978805705,mean_only,0.150147446655,evaluated
region_block,1,comprehensive_plus_max,legacy_peak_timing,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.17104516074,mean_only,0.172653297408,evaluated
region_block,1,comprehensive_plus_max,legacy_duration_days,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.535156329644,mean_only,0.536980317584,evaluated
region_block,1,comprehensive_plus_max,legacy_final_area_km2,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.425896415721,mean_only,0.434024045046,evaluated
region_block,1,comprehensive_plus_max,legacy_morph_pc1,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.492091269184,mean_only,0.494688232967,evaluated
region_block,1,length_only,legacy_front_loaded_fraction,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.666469417544,mean_only,0.668309539705,evaluated
region_block,1,length_only,legacy_late_growth_fraction,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.340443090044,mean_only,0.341480604788,evaluated
region_block,1,length_only,legacy_terminal_taper_fraction,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.581450660295,mean_only,0.585091777958,evaluated
region_block,1,length_only,legacy_growth_entropy,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.683350409222,mean_only,0.685523018435,evaluated
region_block,1,length_only,legacy_pulse_count,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.39073511436,mean_only,0.391909155128,evaluated
region_block,1,length_only,legacy_reactivation_count,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.393661900701,mean_only,0.394830541651,evaluated
region_block,1,length_only,legacy_peak_timing,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,0.297798469202,mean_only,0.29940660587,evaluated
region_block,1,length_only,legacy_duration_days,237235,237235,35f41088295a6f8ccc12ed4bfb0b877d670a509b740049580f2f02236ffadff5,,mean_only,,excluded_known_outcome
