group,label,n,subspace_overlap,pc1,first_five,axis1_cosine,axis2_cosine,axis3_cosine,axis4_cosine,axis5_cosine
region,alaska,1028,0.982611383109,0.320310902757,0.866960598225,0.963938856614,0.965618833594,0.988805840215,0.979164636235,0.949660719759
region,central,2339,0.979167584336,0.362109808608,0.9163997469,0.983548933757,0.984053027232,0.989026377411,0.984007439879,0.951173990678
region,east,1418,0.995864848657,0.367975583263,0.916368245662,0.994200371091,0.995700647785,0.990600062734,0.980637289371,0.986291045105
region,intermountain,3259,0.9975182161,0.345056606062,0.899003170978,0.994959584978,0.99493853662,0.999256125127,0.99910764032,0.994456780061
region,west,2196,0.981622572652,0.33285264459,0.883168094577,0.992255115884,0.994494954527,0.991330223645,0.985466218725,0.949433034284
year,2001,186,0.940435750387,0.348554373609,0.896390839574,0.989922100368,0.982754224829,0.983675906211,0.967258956182,0.86627862917
year,2002,301,0.989692346142,0.343113274636,0.883930355845,0.997592313837,0.99760522133,0.987963786398,0.978625119319,0.983573429623
year,2003,562,0.985765924121,0.355707936912,0.900951118199,0.997478978467,0.99706823527,0.989294184877,0.988246238319,0.967952624797
year,2004,630,0.979441478268,0.346950574646,0.909234693171,0.996085989973,0.99335479633,0.973068898683,0.974174370866,0.958429547739
year,2005,617,0.995500605279,0.366786010335,0.908388746337,0.995558693393,0.995032930955,0.996334804398,0.994500701542,0.992052996641
year,2006,574,0.993778454589,0.341588212453,0.895571913768,0.978780832822,0.978438142449,0.985722467114,0.984766467591,0.987858661459
year,2007,522,0.953485291227,0.331550223323,0.882887348417,0.978100116746,0.980063152234,0.990943884412,0.969879387179,0.885585397089
year,2008,509,0.977795070337,0.324452202187,0.904304311945,0.903735269839,0.903402602,0.993390505183,0.964887080399,0.950965833361
year,2009,481,0.9780419606,0.346825830897,0.911175715947,0.994197766435,0.994676534221,0.995364953772,0.992080436826,0.948717911408
year,2010,598,0.99428423743,0.341275385764,0.904401970707,0.997410953525,0.996086902119,0.995396535039,0.99658874559,0.987299585031
year,2011,660,0.991808835681,0.356584154825,0.910360347389,0.97984511976,0.979948124942,0.98761996847,0.980516555033,0.985083867362
year,2012,470,0.984896833403,0.320965742355,0.883588210401,0.871678383159,0.869746690169,0.989042626104,0.98893772147,0.963683157627
year,2013,392,0.981569950306,0.365206483278,0.912478468996,0.996092136235,0.99564511154,0.994589733412,0.993007785229,0.958269149223
year,2014,362,0.972258221123,0.359580789151,0.905321210151,0.999410716512,0.998642092652,0.993951161997,0.974417632503,0.953694595567
year,2015,613,0.98297321297,0.3352499382,0.885811240174,0.994617118751,0.994771018807,0.993747186398,0.987978190092,0.965459785035
year,2016,566,0.993589322721,0.359071148589,0.891359557764,0.999091217904,0.99843755145,0.995602770289,0.989133625628,0.986118369082
year,2017,508,0.989441332188,0.331819956865,0.904744033134,0.928903202953,0.929488306976,0.994276176833,0.994400748046,0.976422465251
year,2018,488,0.978393213676,0.33685001284,0.896639647289,0.997081555347,0.996488713735,0.996875692144,0.995848178592,0.947927382345
year,2019,469,0.992806340646,0.342714449679,0.883325877887,0.994208123538,0.99168562681,0.994066902802,0.986069261869,0.991746820073
year,2020,532,0.992312332595,0.333714982627,0.880154946706,0.99922005485,0.998186399261,0.994482087543,0.967251406689,0.961193906171
year,2021,195,0.979934132183,0.341618916702,0.922895333169,0.995736804717,0.993617313894,0.981648469636,0.959377441913,0.942860697141
