null,rep,n,pc1,first_five,effective_dimension,hull_fill,occupied_fraction
dirichlet_10,33,4000,0.363847006937,0.909637112914,3.9896346789,0.973105891805,0.925
within_fire_permutation,34,4000,0.309613228479,0.862681094187,5.02197875847,0.839989278057,0.79
dirichlet_1,34,4000,0.352589540454,0.903014779564,4.15547518753,0.75881448256,0.7625
dirichlet_10,34,4000,0.366399156512,0.912711317547,3.94227882933,0.960744035944,0.9125
within_fire_permutation,35,4000,0.307277479354,0.861284528026,5.02723946614,0.82423503461,0.7975
dirichlet_1,35,4000,0.353933776347,0.902712003347,4.12483082872,0.768516960638,0.76
dirichlet_10,35,4000,0.3632287732,0.908931386824,3.96594249205,0.973905542286,0.9325
within_fire_permutation,36,4000,0.298983913479,0.85988645514,5.10004205934,0.836148599049,0.7875
dirichlet_1,36,4000,0.356864179736,0.904490085974,4.08971709929,0.746303987262,0.75
dirichlet_10,36,4000,0.361702945478,0.911145402068,3.95631588349,0.982679239557,0.94
within_fire_permutation,37,4000,0.301233485712,0.860210381706,5.09710260669,0.858740625667,0.8075
dirichlet_1,37,4000,0.363906462652,0.906753318885,4.04139582265,0.779880974017,0.765
dirichlet_10,37,4000,0.364786516732,0.912278396339,3.98132095102,0.977169588429,0.94
within_fire_permutation,38,4000,0.306800621222,0.864690548039,4.97531931961,0.874757858479,0.825
dirichlet_1,38,4000,0.356351349166,0.907143352626,4.0846219053,0.746094980373,0.7325
dirichlet_10,38,4000,0.368806161604,0.912353566354,3.93565132462,0.991157474107,0.94
within_fire_permutation,39,4000,0.302897174381,0.860842294688,5.02868513782,0.826588615664,0.78
dirichlet_1,39,4000,0.356736567597,0.90333137957,4.11339154903,0.7619286765,0.7525
dirichlet_10,39,4000,0.352979832696,0.907894545276,4.03010265525,0.959673867108,0.9425
within_fire_permutation,40,4000,0.307104612382,0.861013113015,5.0493178431,0.849973804025,0.8175
dirichlet_1,40,4000,0.353740815033,0.899294949213,4.13785999145,0.735281091427,0.73
dirichlet_10,40,4000,0.366090602659,0.910013132276,3.97247678438,0.974151637793,0.9175
within_fire_permutation,41,4000,0.306130084016,0.859634195423,5.05092904197,0.830672856236,0.795
dirichlet_1,41,4000,0.355122986355,0.905545651117,4.12136689996,0.784857779315,0.7825
dirichlet_10,41,4000,0.36843870559,0.911560412462,3.92825002581,0.963766726214,0.9125
within_fire_permutation,42,4000,0.312849906679,0.863352603856,5.01175610514,0.871326728294,0.8275
dirichlet_1,42,4000,0.354015379875,0.904249208503,4.13019567482,0.744898692488,0.745
dirichlet_10,42,4000,0.362124898579,0.908301377088,4.00120838353,0.964686890033,0.9425
within_fire_permutation,43,4000,0.306076389406,0.863177680413,4.96901835935,0.841204477597,0.7625
dirichlet_1,43,4000,0.351808141905,0.904571770067,4.15649635887,0.750438875016,0.7575
dirichlet_10,43,4000,0.356394762133,0.909302199947,4.04699941582,0.956397694224,0.9125
within_fire_permutation,44,4000,0.300416602702,0.860179231782,5.09878284027,0.874170222048,0.82
dirichlet_1,44,4000,0.349445020869,0.903039448281,4.15244693587,0.749308097295,0.7625
dirichlet_10,44,4000,0.362482153811,0.910642040526,3.9536143316,0.978424794115,0.9375
within_fire_permutation,45,4000,0.300163916126,0.861920775308,5.09829853189,0.855141268363,0.8
dirichlet_1,45,4000,0.350532048047,0.902851861663,4.15398112688,0.762621998784,0.76
dirichlet_10,45,4000,0.356723346652,0.906724897622,4.03691153178,0.974466345008,0.94
within_fire_permutation,46,4000,0.296234411101,0.860202061628,5.08086015466,0.828601956674,0.785
dirichlet_1,46,4000,0.358311838093,0.904027796933,4.11160028264,0.744268090374,0.7525
dirichlet_10,46,4000,0.358247745822,0.908982296852,4.02348868661,0.971217150783,0.94
within_fire_permutation,47,4000,0.305204157778,0.858159661816,5.08165647451,0.860024156698,0.8175
dirichlet_1,47,4000,0.353639606106,0.902524215657,4.12563936444,0.749418877001,0.7475
dirichlet_10,47,4000,0.362303829352,0.912821840822,4.01238400176,0.961510214133,0.93
within_fire_permutation,48,4000,0.303750115318,0.856918037212,5.07414511987,0.837197348946,0.7925
dirichlet_1,48,4000,0.358836386526,0.903520076787,4.1212256117,0.766099391019,0.7575
dirichlet_10,48,4000,0.356257876435,0.910954885006,4.0220911799,0.959192973154,0.9325
within_fire_permutation,49,4000,0.308129402608,0.863028820149,5.03515816035,0.846366532627,0.815
dirichlet_1,49,4000,0.352693876062,0.901782458109,4.13836434046,0.761469045756,0.7625
dirichlet_10,49,4000,0.362310891613,0.913826001602,3.99723223218,0.979053982609,0.9225
within_fire_permutation,50,4000,0.301891536266,0.86222665229,5.05474134156,0.846593059338,0.82
dirichlet_1,50,4000,0.351526400333,0.902030844872,4.14615644531,0.741666995214,0.7525
dirichlet_10,50,4000,0.367610907814,0.91116802899,3.96259214359,0.978690526542,0.9375
within_fire_permutation,51,4000,0.310893435845,0.863963221797,4.99287012205,0.824116466612,0.765
dirichlet_1,51,4000,0.352644783396,0.902531546599,4.12632316464,0.757251761519,0.7525
dirichlet_10,51,4000,0.366899574454,0.913382475133,3.95780018969,0.970796383891,0.9275
within_fire_permutation,52,4000,0.305338815849,0.860767303615,5.06561242829,0.8039876628,0.785
dirichlet_1,52,4000,0.355289675396,0.903861098317,4.10394573074,0.782348719319,0.7725
dirichlet_10,52,4000,0.360889590859,0.91411279814,3.94036435519,0.961633291913,0.8925
within_fire_permutation,53,4000,0.308121922988,0.860898896223,5.06783497718,0.857396986562,0.8075
dirichlet_1,53,4000,0.358582236995,0.905643272195,4.07185239686,0.758784999582,0.7525
dirichlet_10,53,4000,0.363564393635,0.910573878578,3.98511351788,0.974530963458,0.9325
within_fire_permutation,54,4000,0.304090082193,0.86062137055,5.08708475334,0.826008540915,0.82
dirichlet_1,54,4000,0.348929306776,0.902466644493,4.13953136931,0.779050991962,0.7825
dirichlet_10,54,4000,0.358326338176,0.911977169028,3.97574602661,0.964921617622,0.92
within_fire_permutation,55,4000,0.310072041243,0.862897158739,5.04601254982,0.829757852982,0.795
dirichlet_1,55,4000,0.347537367229,0.902807886065,4.12957549525,0.771822832692,0.7575
dirichlet_10,55,4000,0.366163508755,0.911187637259,3.97153522888,0.963456417439,0.9325
within_fire_permutation,56,4000,0.296946534722,0.858815821617,5.08069137271,0.846946733917,0.7925
dirichlet_1,56,4000,0.343396878414,0.902133413466,4.20806843114,0.761029088303,0.7475
dirichlet_10,56,4000,0.362383525943,0.909172131667,3.97069766395,0.952722940514,0.9175
within_fire_permutation,57,4000,0.301149428524,0.85959577102,5.13016838787,0.853783745537,0.8125
dirichlet_1,57,4000,0.358021142538,0.905122891561,4.09070749044,0.758705692312,0.7525
dirichlet_10,57,4000,0.36574013876,0.9107680887,3.96712895442,0.986752409458,0.925
within_fire_permutation,58,4000,0.306672384498,0.861164172551,5.05770046497,0.833337164821,0.775
